,AT2 proliferating,Adventitial fibroblasts,Alveolar fibroblasts,Alveolar macrophages,B cells,Basal resting,CD4 T cells,CD8 T cells,Classical monocytes,Club,DC2,Deuterosomal,EC aerocyte capillary,EC general capillary,EC venous pulmonary,EC venous systemic,Goblet,Hillock-like,Interstitial macrophages,Ionocyte,Multiciliated,NK cells,Non-classical monocytes,Peribronchial fibroblasts,Pericytes,Plasma cells,SMG duct,SMG mucous,SMG serous,Suprabasal,Transitional Club-AT2
AT2 proliferating,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Adventitial fibroblasts,0,531,39,3,0,0,2,0,0,0,0,0,1,3,4,0,1,0,1,0,0,0,0,21,0,0,2,0,0,0,0
Alveolar fibroblasts,0,22,418,2,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,26,0,0,1,0,0,1,0
Alveolar macrophages,0,1,1,1300,0,0,0,1,4,0,11,0,0,0,2,1,2,0,92,0,1,0,18,0,0,0,1,0,0,1,1
B cells,0,0,0,0,248,0,0,0,0,0,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Basal resting,0,0,0,2,0,537,0,1,0,18,0,0,0,2,0,0,4,12,0,0,2,0,0,0,0,0,1,0,0,55,1
CD4 T cells,0,0,0,1,0,0,539,50,1,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,2,0
CD8 T cells,0,5,1,7,3,0,134,771,4,3,4,0,0,3,1,0,2,2,3,0,3,58,5,0,1,0,0,0,0,1,0
Classical monocytes,0,0,0,28,0,0,3,5,823,3,21,0,0,2,6,1,2,0,90,0,0,0,66,1,1,0,0,0,0,1,0
Club,1,0,1,1,0,1,0,1,2,701,0,4,0,0,1,0,147,2,0,0,1,0,0,0,0,0,1,0,0,61,65
DC2,0,0,0,21,2,1,1,4,19,1,922,0,0,3,1,0,1,0,77,1,2,0,27,0,0,0,0,0,0,0,1
Deuterosomal,0,0,0,0,0,0,0,0,0,5,0,288,0,0,0,0,4,0,0,0,9,0,0,0,0,0,0,0,0,4,1
EC aerocyte capillary,0,0,1,3,0,0,2,0,0,0,0,0,351,37,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
EC general capillary,0,0,3,8,0,1,7,3,1,15,1,0,27,427,29,15,2,0,0,0,0,3,4,0,0,0,0,0,0,3,4
EC venous pulmonary,2,0,0,1,0,0,0,1,2,0,0,0,1,22,582,49,0,0,1,0,0,0,3,0,0,0,0,0,0,0,3
EC venous systemic,0,0,0,1,0,0,0,0,1,0,0,0,0,40,57,507,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Goblet,0,0,0,4,0,1,0,0,0,101,2,3,0,0,0,0,697,7,0,0,23,0,0,0,0,0,21,0,0,9,20
Hillock-like,0,0,0,0,0,7,0,1,0,11,0,0,0,0,0,0,9,233,0,0,1,0,0,0,0,0,1,0,0,25,0
Interstitial macrophages,0,0,0,177,0,1,0,0,43,1,94,0,0,0,1,0,2,0,692,0,1,1,37,0,0,1,0,0,0,1,0
Ionocyte,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,175,1,0,0,0,0,0,0,0,0,2,0
Multiciliated,3,1,0,1,0,4,1,0,0,2,0,7,0,0,0,1,22,1,0,0,1731,1,0,0,0,0,0,0,0,1,5
NK cells,1,0,0,0,0,0,1,44,0,0,1,0,0,0,0,0,0,0,0,0,0,424,0,0,0,0,0,0,0,0,0
Non-classical monocytes,0,0,0,19,0,0,0,4,80,0,17,0,0,0,0,0,0,0,26,0,0,2,597,0,0,0,0,0,0,1,1
Peribronchial fibroblasts,0,38,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,0,0,0,0,0,0,0
Pericytes,0,2,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,176,0,0,0,0,0,0
Plasma cells,0,0,0,2,1,3,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,3,0,0,0,299,0,0,0,0,0
SMG duct,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,10,2,0,0,1,0,0,0,0,0,168,0,1,0,4
SMG mucous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,72,0,0,1
SMG serous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,63,0,0
Suprabasal,1,0,1,0,2,101,0,0,0,60,0,0,0,0,0,0,15,39,1,0,2,0,0,0,0,0,0,0,0,436,2
Transitional Club-AT2,6,0,1,0,0,4,0,0,0,40,0,0,0,0,1,0,35,0,0,0,3,0,0,0,0,0,5,0,0,4,746
