,AT2 proliferating,Adventitial fibroblasts,Alveolar fibroblasts,Alveolar macrophages,B cells,Basal resting,CD4 T cells,CD8 T cells,Classical monocytes,Club,DC2,Deuterosomal,EC aerocyte capillary,EC general capillary,EC venous pulmonary,EC venous systemic,Goblet,Hillock-like,Interstitial macrophages,Ionocyte,Multiciliated,NK cells,Non-classical monocytes,Peribronchial fibroblasts,Pericytes,Plasma cells,SMG duct,SMG mucous,SMG serous,Suprabasal,Transitional Club-AT2
AT2 proliferating,386,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,27
Adventitial fibroblasts,0,342,35,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,34,1,0,0,1,0,0,0
Alveolar fibroblasts,0,91,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,12,2,0,0,0,0,0,0
Alveolar macrophages,0,0,0,816,0,0,0,0,2,0,5,0,0,1,0,0,0,0,141,0,1,0,16,0,0,1,0,0,0,0,3
B cells,0,0,0,0,313,0,6,5,0,0,47,0,0,0,0,0,0,0,1,0,0,0,1,0,0,8,0,0,0,2,0
Basal resting,0,1,0,0,0,567,1,0,0,0,0,0,0,0,0,0,0,6,2,7,0,1,0,0,0,1,1,0,0,59,1
CD4 T cells,0,0,0,0,3,1,732,77,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,0,0,5,0,0,0,0,0
CD8 T cells,0,0,0,0,3,0,95,454,0,0,3,0,0,0,0,1,0,1,2,0,0,108,2,0,0,2,0,0,0,1,0
Classical monocytes,1,0,1,1,0,0,2,2,861,0,20,0,1,0,0,0,0,0,61,0,0,0,89,0,0,2,0,0,0,0,0
Club,0,0,0,2,0,6,2,0,0,162,1,1,0,0,0,0,88,33,0,2,0,0,0,0,0,1,2,0,0,114,27
DC2,3,0,0,6,14,0,0,0,17,0,656,0,0,1,0,0,0,0,102,0,0,0,33,0,0,4,0,0,0,0,0
Deuterosomal,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,8,0,0,0,23,0,0,0,0,0,0,0,0,0,0
EC aerocyte capillary,2,0,0,0,0,0,0,0,1,0,0,0,84,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EC general capillary,0,0,0,0,0,0,1,0,0,0,0,0,13,265,10,18,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
EC venous pulmonary,0,0,0,0,0,0,0,0,0,0,0,0,0,3,340,44,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1
EC venous systemic,0,0,0,0,0,1,0,0,0,1,0,0,0,22,61,284,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0
Goblet,0,0,0,2,0,6,0,0,0,69,1,21,0,0,0,0,295,4,0,4,12,0,0,0,0,1,14,2,0,19,6
Hillock-like,0,0,0,0,0,98,0,0,0,0,0,0,1,0,0,0,0,263,0,2,0,0,0,0,0,0,0,0,1,53,0
Interstitial macrophages,0,0,0,188,0,0,2,3,126,0,58,0,0,0,0,0,0,0,820,0,0,1,91,0,0,6,0,0,0,0,0
Ionocyte,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,68,1,0,0,0,0,0,1,0,0,0,0
Multiciliated,0,0,0,2,0,1,0,0,0,0,0,28,0,0,0,0,0,0,0,2,907,0,3,0,0,0,0,0,0,0,4
NK cells,0,0,0,0,0,0,1,45,0,0,0,0,0,0,0,0,0,0,0,0,0,613,0,0,0,0,0,0,0,0,0
Non-classical monocytes,0,0,0,53,0,0,3,4,96,0,45,0,0,0,0,0,0,0,175,0,0,2,375,0,0,1,0,0,0,0,0
Peribronchial fibroblasts,0,30,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0
Pericytes,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,0,0,0,0
Plasma cells,0,0,1,1,3,0,5,1,3,0,1,0,0,0,0,0,0,0,9,1,0,0,8,0,1,175,0,0,0,0,0
SMG duct,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,197,0,15,0,0
SMG mucous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,10,35,1,0,0
SMG serous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,156,0,0
Suprabasal,0,0,0,0,0,141,2,0,0,32,0,2,0,0,0,0,9,49,0,10,0,0,0,0,0,1,0,0,0,484,1
Transitional Club-AT2,18,1,0,0,0,1,0,0,0,4,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,3,395
