,AT2 proliferating,Adventitial fibroblasts,Alveolar fibroblasts,Alveolar macrophages,B cells,Basal resting,CD4 T cells,CD8 T cells,Classical monocytes,Club,DC2,Deuterosomal,EC aerocyte capillary,EC general capillary,EC venous pulmonary,EC venous systemic,Goblet,Hillock-like,Interstitial macrophages,Ionocyte,Multiciliated,NK cells,Non-classical monocytes,Peribronchial fibroblasts,Pericytes,Plasma cells,SMG duct,SMG serous,Suprabasal,Transitional Club-AT2
AT2 proliferating,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
Adventitial fibroblasts,0,501,64,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,1,0,0,0,1,24,11,0,0,0,0,0
Alveolar fibroblasts,1,45,375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,31,15,0,0,0,0,0
Alveolar macrophages,1,2,0,1299,1,0,0,1,0,5,9,0,0,1,2,0,1,0,102,0,0,0,8,0,1,2,0,0,0,2
B cells,0,0,0,0,222,0,1,0,0,0,12,0,0,1,0,0,0,0,1,0,0,0,4,0,0,12,0,0,0,0
Basal resting,1,0,0,0,0,515,2,0,2,3,0,0,0,2,1,0,0,14,1,0,0,0,0,0,0,3,0,0,88,3
CD4 T cells,0,0,0,0,1,1,534,53,2,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,2,0,0,2,0
CD8 T cells,0,3,1,4,3,0,150,754,1,0,1,0,0,2,0,2,3,4,1,0,3,52,18,2,4,1,0,0,2,0
Classical monocytes,0,0,2,2,0,0,0,2,818,1,6,0,0,2,6,1,1,0,96,0,0,2,107,0,0,5,0,0,0,2
Club,0,0,0,1,0,5,1,0,1,735,0,1,0,0,0,0,143,4,0,2,0,0,0,0,0,3,2,0,49,43
DC2,0,0,0,23,17,0,1,2,14,2,896,0,0,0,0,0,1,0,68,0,2,0,54,0,0,4,0,0,0,0
Deuterosomal,0,0,0,0,0,0,1,0,0,33,0,175,0,0,0,0,20,0,0,2,77,0,1,0,0,0,0,0,0,2
EC aerocyte capillary,0,0,0,1,0,0,2,0,0,0,0,1,305,83,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
EC general capillary,2,0,0,6,0,0,7,0,0,0,0,5,15,486,12,8,0,0,1,1,0,0,4,0,4,2,0,0,0,0
EC venous pulmonary,0,0,0,0,0,0,0,0,0,0,0,0,0,19,601,45,0,0,0,0,0,0,1,0,0,0,0,0,0,1
EC venous systemic,0,0,0,0,0,0,0,0,0,0,0,0,0,61,137,406,0,0,1,0,0,0,1,0,1,0,0,0,0,0
Goblet,0,0,0,7,0,0,0,0,0,222,0,12,0,0,0,0,564,0,0,5,17,0,0,0,0,0,20,0,26,15
Hillock-like,0,0,0,0,0,7,0,0,0,19,0,0,0,0,0,0,5,214,0,0,0,0,0,0,0,0,0,0,43,0
Interstitial macrophages,0,0,0,253,1,1,2,0,39,3,108,0,0,1,1,0,1,0,508,0,0,0,127,0,0,7,0,0,0,0
Ionocyte,1,0,0,0,0,1,2,0,0,5,0,0,0,1,0,1,2,0,0,148,0,0,0,0,0,19,0,0,1,0
Multiciliated,3,1,0,3,0,2,0,0,1,0,0,37,0,0,0,0,2,0,0,1,1721,1,1,0,0,0,0,0,0,8
NK cells,0,0,0,1,0,0,1,79,0,0,0,0,1,0,0,0,0,0,0,0,0,389,0,0,0,0,0,0,0,0
Non-classical monocytes,0,0,0,75,0,0,1,2,44,0,24,0,0,0,0,0,0,0,156,0,0,3,440,0,0,2,0,0,0,0
Peribronchial fibroblasts,0,30,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,0,1,0,0,0,0
Pericytes,0,0,8,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,171,0,0,0,0,0
Plasma cells,1,0,1,3,4,3,11,1,1,0,0,0,0,3,0,3,0,0,14,2,3,1,2,0,0,259,0,0,0,0
SMG duct,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,173,3,6,0
SMG serous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,68,0,0
Suprabasal,2,1,0,0,0,122,0,0,0,57,0,0,0,0,0,0,16,43,0,0,2,1,0,0,0,0,2,0,412,2
Transitional Club-AT2,22,1,0,0,0,0,0,0,2,46,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,2,5,0,2,760
