,AT2 proliferating,Adventitial fibroblasts,Alveolar fibroblasts,Alveolar macrophages,B cells,Basal resting,CD4 T cells,CD8 T cells,Classical monocytes,Club,DC2,Deuterosomal,EC aerocyte capillary,EC general capillary,EC venous pulmonary,EC venous systemic,Goblet,Hillock-like,Interstitial macrophages,Ionocyte,Multiciliated,NK cells,Non-classical monocytes,Peribronchial fibroblasts,Pericytes,Plasma cells,SMG duct,SMG serous,Suprabasal,Transitional Club-AT2
AT2 proliferating,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,7
Adventitial fibroblasts,0,558,16,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,1,12,14,0,0,0,0,0
Alveolar fibroblasts,0,97,300,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,7,0,0,0,50,17,0,0,0,0,0
Alveolar macrophages,0,2,0,1216,1,0,0,1,0,3,16,0,0,0,2,1,3,0,184,0,0,0,7,0,1,0,0,0,0,0
B cells,0,0,0,0,227,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0
Basal resting,1,0,0,0,0,541,0,2,2,1,0,0,0,1,0,1,0,10,0,1,0,0,0,0,0,4,0,0,70,1
CD4 T cells,0,0,0,0,1,1,511,57,2,1,0,0,0,0,0,0,0,0,1,3,0,1,2,0,0,17,0,0,2,0
CD8 T cells,0,6,1,5,6,1,142,689,3,0,3,0,0,2,1,1,3,1,6,7,4,99,19,0,3,5,0,0,4,0
Classical monocytes,0,0,0,4,0,0,0,0,863,0,11,0,0,3,5,1,0,0,91,0,0,2,73,0,0,0,0,0,0,0
Club,2,0,0,0,0,4,0,1,0,643,0,2,0,0,0,0,181,5,0,2,0,0,1,0,0,0,4,1,92,52
DC2,0,0,0,40,52,0,1,1,33,1,861,0,0,0,0,0,1,0,49,0,2,0,39,0,0,3,0,0,1,0
Deuterosomal,11,0,0,0,0,0,1,0,0,20,1,179,0,0,0,0,27,0,0,0,64,0,0,0,0,0,1,1,3,3
EC aerocyte capillary,0,0,0,2,0,0,1,0,0,0,0,0,317,65,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EC general capillary,3,0,0,3,0,0,1,0,0,0,0,0,23,416,4,89,0,0,2,7,0,0,1,0,1,3,0,0,0,0
EC venous pulmonary,0,0,0,0,0,0,0,0,1,0,0,0,0,18,494,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EC venous systemic,0,0,0,0,0,0,0,0,0,0,0,0,12,82,85,426,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Goblet,2,0,0,7,0,3,3,0,0,142,0,14,0,0,0,0,614,1,0,1,26,0,0,0,0,1,24,1,15,34
Hillock-like,0,0,0,0,0,28,0,0,0,5,0,0,0,0,0,0,0,171,0,0,0,0,0,0,0,0,0,0,84,0
Interstitial macrophages,0,0,0,250,1,0,2,2,78,3,194,0,1,0,0,0,0,0,452,0,0,1,64,0,0,3,0,0,1,0
Ionocyte,4,0,0,0,0,3,71,0,0,2,0,0,0,0,0,2,0,0,0,43,0,0,0,0,0,50,0,0,2,4
Multiciliated,4,0,0,1,0,1,0,0,0,1,0,44,0,0,0,0,6,0,0,2,1714,1,1,1,0,2,0,0,1,2
NK cells,1,0,0,0,0,0,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,353,1,0,0,0,0,0,0,0
Non-classical monocytes,0,0,0,77,0,0,1,5,66,0,56,0,0,0,0,0,0,0,150,0,0,3,389,0,0,0,0,0,0,0
Peribronchial fibroblasts,0,121,61,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,45,1,1,0,0,0,0
Pericytes,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,5,0,0,0,1,166,0,0,0,0,0
Plasma cells,0,0,0,3,4,3,78,2,1,0,2,1,0,8,0,3,0,0,12,5,4,1,1,0,1,183,0,0,0,0
SMG duct,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,11,5,19
SMG serous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,65,0,0
Suprabasal,2,0,0,0,0,118,0,0,0,31,0,0,0,0,0,0,12,19,0,0,2,0,0,0,0,0,2,0,472,2
Transitional Club-AT2,24,3,0,0,0,3,0,0,2,110,0,1,0,0,0,0,51,0,1,4,2,0,0,0,0,4,54,1,6,579
