fold,representation,macro_f1,accuracy,n_train_cells,n_test_cells,n_classes_used,n_train_donors,n_test_donors,batch_covariate,n_batch_features
1,pca,0.7943346673135293,0.7885735663513441,64768,18711,30,83,21,None,0
2,pca,0.7965053046492924,0.7864630516371166,68025,15454,30,83,21,None,0
3,pca,0.8097482602194866,0.8074331787055445,65371,18108,30,83,21,None,0
4,pca,0.7735033021802296,0.7713725755220653,68682,14797,30,83,21,None,0
5,pca,0.778031613401548,0.7753671765494545,67070,16409,30,84,20,None,0
