,AT2 proliferating,Adventitial fibroblasts,Alveolar fibroblasts,Alveolar macrophages,B cells,Basal resting,CD4 T cells,CD8 T cells,Classical monocytes,Club,DC2,Deuterosomal,EC aerocyte capillary,EC general capillary,EC venous pulmonary,EC venous systemic,Goblet,Hillock-like,Interstitial macrophages,Ionocyte,Multiciliated,NK cells,Non-classical monocytes,Peribronchial fibroblasts,Pericytes,Plasma cells,SMG duct,SMG mucous,SMG serous,Suprabasal,Transitional Club-AT2
AT2 proliferating,368,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,16,0,0,0,0,0,0,0,0,0,5,27
Adventitial fibroblasts,0,343,28,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,38,1,0,0,1,0,0,0
Alveolar fibroblasts,0,73,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,31,6,0,0,0,0,0,0
Alveolar macrophages,0,0,0,822,0,0,0,0,2,1,9,0,0,0,1,0,0,0,134,0,0,0,15,0,0,1,0,0,0,0,1
B cells,0,0,0,0,314,1,5,8,0,0,48,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,1,0
Basal resting,0,0,0,0,0,564,1,0,0,2,1,0,1,0,0,0,0,18,2,5,0,2,0,0,0,1,0,0,0,50,0
CD4 T cells,0,0,0,0,4,1,714,77,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,0,0,21,1,0,0,0,0
CD8 T cells,0,0,0,0,4,0,101,496,0,0,3,0,0,0,1,0,0,1,3,0,0,59,1,0,0,1,0,1,0,1,0
Classical monocytes,1,1,1,2,0,0,0,1,874,0,29,0,1,0,0,0,0,0,51,0,0,0,78,0,0,2,0,0,0,0,0
Club,3,0,0,0,0,5,0,0,0,200,2,1,0,0,0,0,68,41,0,2,0,0,0,0,0,1,2,0,0,82,34
DC2,1,0,0,8,31,0,0,0,24,0,675,0,0,1,0,0,0,0,70,0,0,0,23,0,0,3,0,0,0,0,0
Deuterosomal,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,9,0,0,0,18,0,0,0,0,0,0,0,0,0,0
EC aerocyte capillary,0,0,0,0,0,0,0,0,0,0,0,0,86,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EC general capillary,0,0,0,0,0,0,1,1,0,0,0,0,16,238,8,39,0,0,1,4,0,0,0,0,1,0,0,0,0,0,0
EC venous pulmonary,0,0,0,0,0,0,0,0,0,0,0,0,0,4,321,58,0,0,4,0,0,0,0,0,0,0,0,2,0,0,3
EC venous systemic,0,0,0,0,0,0,0,0,0,1,0,0,2,42,65,260,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Goblet,0,0,0,6,0,4,4,1,1,130,1,15,0,0,0,0,245,1,0,2,11,0,0,0,0,2,5,7,0,7,14
Hillock-like,1,0,0,0,0,76,0,0,0,3,0,0,1,0,0,0,0,295,0,2,0,0,0,0,0,0,0,0,0,40,0
Interstitial macrophages,0,0,0,203,1,0,1,1,138,0,89,0,0,0,0,0,0,0,745,1,0,1,102,0,1,10,0,1,1,0,0
Ionocyte,0,0,0,0,0,3,0,0,0,13,0,0,0,0,0,0,0,0,0,56,2,0,0,0,0,0,0,0,0,0,0
Multiciliated,1,0,0,2,0,0,0,0,0,0,0,22,0,0,0,0,3,0,0,1,912,0,1,0,0,0,0,1,0,1,3
NK cells,0,0,0,0,0,0,1,65,0,0,0,0,0,0,0,0,0,0,0,0,0,593,0,0,0,0,0,0,0,0,0
Non-classical monocytes,0,0,0,50,0,0,3,4,110,0,81,0,0,0,0,0,0,0,136,0,0,1,369,0,0,0,0,0,0,0,0
Peribronchial fibroblasts,0,54,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,1,0,0,0,0,0,0
Pericytes,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,97,0,0,0,0,0,0
Plasma cells,0,0,2,1,4,0,17,3,3,0,2,0,0,0,0,0,0,0,8,0,0,0,7,0,1,161,0,0,0,0,0
SMG duct,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,154,9,26,1,2
SMG mucous,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,38,0,0,0
SMG serous,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,136,0,0
Suprabasal,8,0,0,0,0,121,0,2,0,62,0,1,0,0,0,0,11,71,0,5,0,0,0,0,1,0,0,0,0,440,9
Transitional Club-AT2,14,1,0,0,0,1,0,0,0,24,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,5,0,0,5,362
