fold,representation,macro_f1,accuracy,n_train_cells,n_test_cells,n_classes_used,n_train_donors,n_test_donors,batch_covariate,n_batch_features
1,scvi,0.8778433728187681,0.8620597509486398,64768,18711,30,83,21,None,0
2,scvi,0.8683914036408792,0.8511065096415168,68025,15454,30,83,21,None,0
3,scvi,0.8872812038150805,0.8675171195051911,65371,18108,30,83,21,None,0
4,scvi,0.8632461403897083,0.8515239575589647,68682,14797,30,83,21,None,0
5,scvi,0.8754371962665146,0.8614784569443598,67070,16409,30,84,20,None,0
