fold,representation,macro_f1,accuracy,n_train_cells,n_test_cells,n_classes_used,n_train_donors,n_test_donors,batch_covariate,n_batch_features
1,hvg,0.8563586824189482,0.8390786168563946,64768,18711,30,83,21,None,0
2,hvg,0.8570173690496372,0.8377119192442086,68025,15454,30,83,21,None,0
3,hvg,0.8643060020704827,0.8468080406450188,65371,18108,30,83,21,None,0
4,hvg,0.8469973582525613,0.8353720348719335,68682,14797,30,83,21,None,0
5,hvg,0.8602521868681106,0.83990493022122,67070,16409,30,84,20,None,0
