,AT2 proliferating,Adventitial fibroblasts,Alveolar fibroblasts,Alveolar macrophages,B cells,Basal resting,CD4 T cells,CD8 T cells,Classical monocytes,Club,DC2,Deuterosomal,EC aerocyte capillary,EC general capillary,EC venous pulmonary,EC venous systemic,Goblet,Hillock-like,Interstitial macrophages,Ionocyte,Multiciliated,NK cells,Non-classical monocytes,Peribronchial fibroblasts,Pericytes,Plasma cells,SMG duct,SMG mucous,SMG serous,Suprabasal,Transitional Club-AT2
AT2 proliferating,97,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,1,2,0,0,0,0,0,0,0,7,4
Adventitial fibroblasts,0,201,23,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0,1,0,10,2,2,0,0,0,0,1
Alveolar fibroblasts,0,54,246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,9,1,0,0,0,0,0
Alveolar macrophages,1,1,0,602,1,0,0,4,3,3,13,0,0,2,2,0,4,0,85,0,0,2,34,0,0,0,0,0,0,0,0
B cells,0,0,0,0,522,0,8,2,0,0,16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0
Basal resting,1,1,0,0,3,625,1,1,0,1,0,0,1,0,0,0,0,13,0,7,0,0,0,0,0,5,1,0,0,81,9
CD4 T cells,1,0,0,0,4,1,851,98,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,11,0,0,0,0,4
CD8 T cells,0,1,0,0,1,4,108,839,1,0,0,0,0,0,0,0,1,0,0,0,1,70,0,0,0,5,0,0,0,1,4
Classical monocytes,0,0,0,0,0,0,2,0,914,0,15,0,0,0,0,0,0,0,30,0,0,1,68,0,0,3,0,0,0,1,1
Club,1,0,0,0,0,5,0,0,0,546,1,0,0,0,0,0,214,17,1,1,1,0,0,0,0,0,8,2,2,122,47
DC2,0,0,0,29,29,0,0,1,5,1,714,0,0,0,0,0,0,0,62,0,0,1,38,0,0,2,0,0,0,1,2
Deuterosomal,0,0,0,0,0,0,0,0,0,8,0,104,0,0,0,0,19,0,0,0,77,0,0,0,0,0,0,0,4,0,1
EC aerocyte capillary,0,0,0,0,0,0,0,0,0,0,1,0,352,43,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EC general capillary,0,0,0,0,0,1,2,0,0,0,0,0,25,468,5,39,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
EC venous pulmonary,0,0,0,0,0,0,0,0,3,1,0,0,0,9,321,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EC venous systemic,0,0,0,0,0,2,0,0,0,1,0,0,10,74,63,429,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
Goblet,1,0,0,1,0,1,6,0,0,184,0,3,0,0,0,0,590,0,0,3,7,0,1,0,0,0,14,8,5,18,34
Hillock-like,0,0,0,0,0,70,0,0,0,11,0,0,0,0,0,0,0,201,0,0,0,0,0,0,0,0,0,0,0,95,0
Interstitial macrophages,1,0,0,195,2,0,1,2,75,5,88,0,0,0,0,0,1,0,633,0,0,6,110,0,0,2,0,0,0,1,0
Ionocyte,0,0,0,0,0,0,11,0,0,2,0,0,0,0,0,0,4,0,0,67,0,0,0,0,0,10,0,0,0,1,8
Multiciliated,0,0,0,0,0,11,0,0,0,0,0,25,0,0,0,0,12,0,0,1,1611,0,1,0,0,0,2,0,1,3,1
NK cells,0,0,0,0,0,0,1,119,0,0,0,0,0,0,0,0,0,0,0,0,0,671,0,0,0,0,0,0,0,1,0
Non-classical monocytes,0,0,0,31,2,0,4,1,88,0,45,0,0,0,0,0,0,0,75,0,0,0,298,0,0,3,0,0,0,0,1
Peribronchial fibroblasts,0,61,205,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,54,1,0,0,0,0,0,0
Pericytes,0,0,20,0,0,0,0,2,0,0,1,0,0,2,0,1,0,0,0,8,0,0,0,0,218,0,0,0,0,0,0
Plasma cells,3,0,0,5,1,1,19,5,6,0,0,0,0,0,0,2,0,0,3,3,0,0,5,0,1,216,0,1,0,1,0
SMG duct,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,231,3,15,3,15
SMG mucous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,7,109,0,0,0
SMG serous,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,1,133,0,0
Suprabasal,3,0,0,0,0,137,0,1,1,103,1,1,0,0,0,1,10,39,0,4,0,1,0,0,0,0,2,0,0,632,7
Transitional Club-AT2,43,0,0,0,1,2,0,0,1,36,0,0,0,0,0,0,12,0,0,5,1,0,0,0,0,0,9,1,0,2,487
