,AT1,AT2,B cell lineage,Basal,Dendritic cells,EC arterial,EC capillary,EC venous,Fibroblasts,Innate lymphoid cell NK,Lymphatic EC mature,Macrophages,Mast cells,Monocytes,Multiciliated lineage,Secretory,Submucosal Secretory,T cell lineage
AT1,497,7,0,1,0,0,0,0,0,0,0,3,1,0,0,6,0,0
AT2,19,957,0,2,1,0,0,0,0,0,2,1,0,0,0,20,1,1
B cell lineage,1,1,492,1,31,1,0,1,1,1,0,10,0,1,0,4,0,14
Basal,2,4,0,796,1,0,0,0,1,0,0,0,0,0,1,76,2,5
Dendritic cells,0,2,31,1,866,0,1,0,0,0,0,73,0,34,1,2,0,3
EC arterial,0,1,0,1,0,348,61,132,1,0,0,0,0,0,0,0,0,3
EC capillary,1,1,1,0,0,53,431,14,0,0,4,1,0,1,0,0,3,2
EC venous,0,4,1,2,0,92,36,730,1,1,2,0,0,1,0,1,0,0
Fibroblasts,0,0,0,0,0,0,0,0,721,0,0,2,0,2,1,0,0,1
Innate lymphoid cell NK,0,0,0,0,0,0,0,0,0,532,0,0,0,0,0,0,0,88
Lymphatic EC mature,0,0,0,0,0,0,0,3,0,0,379,0,0,0,0,0,0,0
Macrophages,0,1,1,1,64,0,0,0,0,0,0,1088,0,140,0,7,0,9
Mast cells,0,0,0,0,0,0,0,0,0,2,0,0,441,0,0,0,0,0
Monocytes,0,3,1,0,56,0,0,1,0,0,1,134,1,978,0,0,1,2
Multiciliated lineage,0,3,0,5,0,0,0,0,0,0,0,0,0,3,1351,28,0,0
Secretory,10,40,0,67,0,0,0,0,0,0,0,1,0,0,9,1154,42,1
Submucosal Secretory,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,82,245,1
T cell lineage,2,2,9,5,3,1,3,0,0,89,0,0,0,5,1,0,0,990
