,AT1,AT2,B cell lineage,Basal,Dendritic cells,EC arterial,EC capillary,EC venous,Fibroblasts,Innate lymphoid cell NK,Lymphatic EC mature,Macrophages,Mast cells,Monocytes,Multiciliated lineage,Secretory,Submucosal Secretory,T cell lineage
AT1,500,6,0,2,0,0,0,0,0,0,0,2,0,0,0,5,0,0
AT2,17,957,0,3,0,0,0,0,1,0,3,4,0,0,0,18,1,0
B cell lineage,0,1,541,1,6,0,0,0,1,3,1,0,0,1,1,1,0,2
Basal,1,1,1,796,1,0,0,0,1,0,0,0,0,0,3,82,0,2
Dendritic cells,0,1,2,0,924,0,0,0,0,0,0,61,0,23,1,2,0,0
EC arterial,0,1,0,0,0,501,21,20,1,0,0,0,0,0,0,1,0,2
EC capillary,0,0,0,1,0,29,452,26,0,0,3,1,0,0,0,0,0,0
EC venous,0,1,0,1,0,24,28,815,0,2,0,0,0,0,0,0,0,0
Fibroblasts,1,0,1,0,0,0,0,2,720,0,0,0,0,1,0,0,0,2
Innate lymphoid cell NK,0,1,1,0,0,0,0,0,0,588,0,0,0,0,0,0,0,30
Lymphatic EC mature,0,0,0,0,0,0,0,0,0,0,382,0,0,0,0,0,0,0
Macrophages,0,3,0,0,55,0,0,0,1,0,0,1154,1,90,0,4,0,3
Mast cells,0,0,0,0,0,0,0,0,0,0,0,1,440,0,0,0,0,2
Monocytes,0,3,0,0,26,0,0,0,1,0,1,55,1,1083,0,3,1,4
Multiciliated lineage,0,3,0,4,0,0,0,0,2,0,0,0,0,1,1367,12,0,1
Secretory,15,19,0,71,0,0,0,0,0,0,0,0,0,2,12,1188,16,1
Submucosal Secretory,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,19,310,0
T cell lineage,1,0,4,0,3,0,1,0,0,39,0,0,0,3,0,0,0,1059
