,AT1,AT2,B cell lineage,Basal,Dendritic cells,EC arterial,EC capillary,EC venous,Fibroblasts,Innate lymphoid cell NK,Lymphatic EC mature,Macrophages,Mast cells,Monocytes,Multiciliated lineage,Secretory,Submucosal Secretory,T cell lineage
AT1,487,17,0,3,1,0,0,0,0,0,0,1,0,0,2,2,0,2
AT2,17,955,0,4,1,0,0,0,1,0,2,3,0,2,0,17,1,1
B cell lineage,0,0,547,0,0,0,1,0,0,3,1,2,0,0,0,1,0,4
Basal,5,7,1,782,2,0,0,0,1,1,0,2,0,0,5,78,1,3
Dendritic cells,0,1,2,1,923,1,1,0,0,0,0,57,0,24,0,2,0,2
EC arterial,1,1,0,0,0,473,39,28,0,1,0,0,0,2,0,2,0,0
EC capillary,1,1,1,0,2,27,448,25,1,0,1,1,0,2,0,1,0,1
EC venous,0,0,0,1,1,17,36,809,1,0,2,0,0,0,3,1,0,0
Fibroblasts,0,2,0,4,1,0,2,0,710,1,0,1,0,3,1,1,0,1
Innate lymphoid cell NK,0,0,0,1,0,1,0,0,0,559,0,0,0,0,0,1,0,58
Lymphatic EC mature,0,0,0,0,0,0,1,0,0,0,379,1,0,0,1,0,0,0
Macrophages,0,1,0,3,57,0,0,1,1,1,0,1170,0,70,0,4,1,2
Mast cells,0,0,1,0,0,0,0,0,0,0,0,2,438,0,0,1,0,1
Monocytes,1,4,1,0,34,0,0,1,0,1,0,57,2,1069,0,4,0,4
Multiciliated lineage,0,4,0,7,0,0,0,0,0,2,0,1,0,0,1355,19,0,2
Secretory,14,16,0,78,1,1,1,0,0,0,0,3,0,1,16,1180,13,0
Submucosal Secretory,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,15,313,0
T cell lineage,1,0,1,1,4,1,2,2,1,41,0,3,1,4,1,2,0,1045
