,AT2 proliferating,Adventitial fibroblasts,Alveolar fibroblasts,Alveolar macrophages,B cells,Basal resting,CD4 T cells,CD8 T cells,Classical monocytes,Club,DC2,Deuterosomal,EC aerocyte capillary,EC general capillary,EC venous pulmonary,EC venous systemic,Goblet,Hillock-like,Interstitial macrophages,Ionocyte,Multiciliated,NK cells,Non-classical monocytes,Peribronchial fibroblasts,Pericytes,Plasma cells,SMG duct,SMG mucous,SMG serous,Suprabasal,Transitional Club-AT2
AT2 proliferating,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,11
Adventitial fibroblasts,0,336,30,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,32,2,3,0,1,0,0,0
Alveolar fibroblasts,0,52,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,11,1,0,0,0,0,0
Alveolar macrophages,0,1,0,848,1,0,0,0,2,1,19,0,0,1,2,0,1,0,127,0,0,1,10,0,0,1,0,0,0,0,0
B cells,0,0,0,0,336,0,7,3,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0
Basal resting,2,0,0,0,1,597,0,0,0,2,0,0,0,0,0,0,0,7,1,6,0,1,0,0,0,3,1,0,0,61,4
CD4 T cells,0,0,0,0,2,0,726,87,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,13,0,0,0,0,2
CD8 T cells,0,0,0,1,6,2,124,719,3,0,3,1,0,0,0,0,1,2,3,1,0,74,8,0,0,2,0,0,0,0,2
Classical monocytes,0,0,0,2,0,0,0,0,912,0,14,0,0,0,1,0,0,0,57,0,0,2,66,0,0,2,0,0,1,1,0
Club,3,0,0,1,0,10,0,1,1,435,0,2,0,0,0,0,159,19,1,0,0,0,0,0,0,0,4,0,1,80,28
DC2,0,0,0,16,34,0,1,2,19,0,784,0,0,0,0,0,0,0,69,0,0,0,39,0,0,1,0,0,0,0,1
Deuterosomal,0,0,0,0,0,0,0,0,0,6,0,119,0,0,0,0,14,0,0,1,53,0,0,0,0,0,0,0,0,0,2
EC aerocyte capillary,0,0,0,0,0,0,1,0,0,0,0,0,238,26,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EC general capillary,0,0,0,1,1,0,1,0,1,0,0,1,26,347,5,57,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0
EC venous pulmonary,0,0,0,0,0,0,0,0,0,0,0,0,0,5,366,83,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
EC venous systemic,0,0,0,0,1,0,0,0,0,1,0,0,8,58,81,406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Goblet,1,0,0,1,0,2,6,1,1,143,0,6,0,0,0,0,496,1,0,6,11,0,0,0,0,1,10,0,0,15,22
Hillock-like,1,0,0,0,0,37,0,0,0,8,0,0,0,0,0,0,0,201,0,1,0,0,0,0,0,0,1,0,0,63,0
Interstitial macrophages,1,0,0,180,0,0,1,0,80,0,100,0,0,0,0,0,0,0,650,1,0,1,74,0,1,5,0,0,0,0,0
Ionocyte,0,0,0,0,0,0,11,0,0,5,0,0,0,0,0,0,3,0,0,71,0,0,0,0,0,10,0,0,0,2,6
Multiciliated,3,0,0,1,0,0,0,0,0,0,0,27,0,0,0,0,5,0,0,0,1329,0,1,0,0,0,0,0,0,2,5
NK cells,1,0,0,0,0,0,1,102,0,0,0,0,0,0,0,0,0,0,0,0,0,516,0,0,0,0,0,0,0,0,0
Non-classical monocytes,0,0,0,45,1,0,0,1,111,0,48,0,0,0,0,0,0,0,135,0,0,2,365,0,0,4,0,0,0,0,0
Peribronchial fibroblasts,0,66,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,1,1,0,0,0,0,0
Pericytes,0,1,4,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,128,0,0,0,0,0,0
Plasma cells,1,0,0,3,4,0,23,3,3,0,1,0,0,2,0,3,0,0,4,5,0,0,2,0,1,239,0,1,0,0,1
SMG duct,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,184,0,19,2,16
SMG mucous,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,5,88,0,0,1
SMG serous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,116,0,0
Suprabasal,5,0,0,0,0,111,0,0,0,63,0,0,0,0,0,1,12,41,0,4,1,0,0,0,1,0,3,0,0,538,3
Transitional Club-AT2,18,0,0,0,0,2,0,0,0,44,0,0,0,0,0,0,12,0,0,3,0,0,0,0,0,0,9,0,0,3,420
