,B cells,CD4+ T cells,MAIT cells,Myeloid cells,NK cells,TRAV1-2- CD8+ T cells,gd T cells
B cells,3256,2,0,2,0,0,0
CD4+ T cells,0,3146,28,0,1,85,60
MAIT cells,0,16,2317,0,0,39,40
Myeloid cells,1,0,0,3319,0,0,0
NK cells,1,2,1,0,3254,8,27
TRAV1-2- CD8+ T cells,0,184,34,0,15,2920,162
gd T cells,0,62,65,0,62,222,2406
