,B cells,CD4+ T cells,MAIT cells,Myeloid cells,NK cells,TRAV1-2- CD8+ T cells,gd T cells
B cells,656,726,120,664,151,676,267
CD4+ T cells,654,752,108,695,146,686,279
MAIT cells,486,507,74,444,146,538,217
Myeloid cells,658,736,113,651,183,719,260
NK cells,7,5,10,15,3232,11,13
TRAV1-2- CD8+ T cells,666,727,101,687,121,726,287
gd T cells,560,654,81,581,146,568,227
