,B cells,CD4+ T cells,MAIT cells,Myeloid cells,NK cells,TRAV1-2- CD8+ T cells,gd T cells
B cells,596,691,13,1110,54,769,27
CD4+ T cells,613,701,11,1193,60,705,37
MAIT cells,432,479,11,860,56,544,30
Myeloid cells,564,629,13,1251,71,765,27
NK cells,3,6,4,52,3226,2,0
TRAV1-2- CD8+ T cells,549,675,16,1210,56,777,32
gd T cells,465,629,14,950,60,669,30
