,B cells,CD4+ T cells,MAIT cells,Myeloid cells,NK cells,TRAV1-2- CD8+ T cells,gd T cells
B cells,704,692,130,706,31,733,264
CD4+ T cells,681,646,126,761,30,760,316
MAIT cells,508,499,124,487,25,542,227
Myeloid cells,642,716,138,752,38,724,310
NK cells,8,20,12,18,3215,7,13
TRAV1-2- CD8+ T cells,672,710,159,711,24,708,331
gd T cells,561,620,115,642,26,580,273
