,B cells,CD4+ T cells,MAIT cells,Myeloid cells,NK cells,TRAV1-2- CD8+ T cells,gd T cells
B cells,548,664,7,1140,51,829,21
CD4+ T cells,568,673,6,1248,56,742,27
MAIT cells,399,449,10,885,50,594,25
Myeloid cells,522,604,9,1283,75,805,22
NK cells,1,2,5,51,3231,3,0
TRAV1-2- CD8+ T cells,531,665,9,1227,57,799,27
gd T cells,411,615,9,998,63,694,27
