,B cells,CD4+ T cells,MAIT cells,Myeloid cells,NK cells,TRAV1-2- CD8+ T cells,gd T cells
B cells,3260,0,0,0,0,0,0
CD4+ T cells,0,3235,17,0,0,50,18
MAIT cells,0,9,2348,0,1,26,28
Myeloid cells,1,0,0,3318,1,0,0
NK cells,0,0,2,0,3241,10,40
TRAV1-2- CD8+ T cells,0,94,20,0,14,3105,82
gd T cells,0,19,44,0,35,72,2647
