,B cells,CD4+ T cells,MAIT cells,Myeloid cells,NK cells,TRAV1-2- CD8+ T cells,gd T cells
B cells,3256,2,0,2,0,0,0
CD4+ T cells,0,3176,28,0,0,80,36
MAIT cells,0,17,2313,0,0,38,44
Myeloid cells,2,0,0,3318,0,0,0
NK cells,1,1,0,0,3249,8,34
TRAV1-2- CD8+ T cells,0,174,21,0,10,2943,167
gd T cells,0,54,56,0,39,220,2448
