,B cells,CD4+ T cells,MAIT cells,Myeloid cells,NK cells,TRAV1-2- CD8+ T cells,gd T cells
B cells,3259,0,0,1,0,0,0
CD4+ T cells,0,3147,32,0,1,87,53
MAIT cells,0,16,2329,0,1,26,40
Myeloid cells,0,1,0,3319,0,0,0
NK cells,0,0,0,0,3250,8,35
TRAV1-2- CD8+ T cells,0,180,25,0,13,2933,164
gd T cells,0,57,77,0,33,180,2470
