,B cells,CD4+ T cells,MAIT cells,Myeloid cells,NK cells,TRAV1-2- CD8+ T cells,gd T cells
B cells,728,700,131,684,28,698,291
CD4+ T cells,697,760,132,688,22,712,309
MAIT cells,458,532,117,522,26,532,225
Myeloid cells,679,695,160,714,35,747,290
NK cells,17,11,10,20,3214,11,10
TRAV1-2- CD8+ T cells,662,729,164,721,21,724,294
gd T cells,586,577,119,616,27,601,291
