,B cells,CD4+ T cells,MAIT cells,Myeloid cells,NK cells,TRAV1-2- CD8+ T cells,gd T cells
B cells,626,628,6,1061,57,861,21
CD4+ T cells,571,712,6,1044,57,907,23
MAIT cells,407,416,5,787,57,715,25
Myeloid cells,540,632,11,1121,74,902,40
NK cells,5,2,1,67,3213,4,1
TRAV1-2- CD8+ T cells,536,664,5,1139,57,890,24
gd T cells,419,538,5,979,47,804,25
