cell_type,f1,precision,recall,support
pancreatic A cell,0.9989909182643794,1.0,0.9979838709677419,496.0
pancreatic D cell,0.9761904761904762,0.9647058823529412,0.9879518072289156,83.0
pancreatic acinar cell,0.9834254143646408,0.9888888888888889,0.978021978021978,91.0
pancreatic ductal cell,0.9831649831649831,0.9798657718120806,0.9864864864864865,148.0
pancreatic stellate cell,1.0,1.0,1.0,69.0
type B pancreatic cell,0.9966644429619747,0.9973297730307076,0.996,750.0
