,AT1,AT2,B cell lineage,Basal,Dendritic cells,EC arterial,EC capillary,EC venous,Fibroblasts,Innate lymphoid cell NK,Lymphatic EC mature,Macrophages,Mast cells,Monocytes,Multiciliated lineage,Secretory,Submucosal Secretory,T cell lineage
AT1,501,7,0,0,0,0,0,0,0,0,0,1,1,0,0,5,0,0
AT2,16,947,0,9,0,0,0,0,1,2,2,2,0,2,1,21,1,0
B cell lineage,0,0,455,0,34,0,0,2,0,0,0,6,0,1,1,1,0,59
Basal,0,5,3,823,0,0,0,0,0,0,0,1,0,0,0,55,0,1
Dendritic cells,0,2,52,0,815,0,0,0,0,0,0,87,0,51,0,3,0,4
EC arterial,0,2,0,0,0,314,69,157,1,0,2,0,0,0,0,0,0,2
EC capillary,1,0,1,0,0,47,429,30,0,0,1,0,0,0,0,0,1,2
EC venous,0,1,0,1,0,79,64,719,1,0,2,0,1,1,0,1,1,0
Fibroblasts,0,0,0,1,0,2,0,1,718,0,1,0,0,1,0,0,1,2
Innate lymphoid cell NK,0,0,1,0,0,0,0,0,0,507,0,0,0,1,0,0,0,111
Lymphatic EC mature,0,0,0,0,0,0,2,2,0,0,376,0,0,2,0,0,0,0
Macrophages,0,2,3,0,79,0,2,1,0,0,0,1091,1,128,0,3,0,1
Mast cells,0,0,0,0,2,0,0,0,0,0,0,0,440,1,0,0,0,0
Monocytes,0,0,2,0,56,1,1,2,0,1,0,116,0,997,0,0,1,1
Multiciliated lineage,0,3,1,0,2,0,0,1,0,0,0,0,0,2,1354,25,1,1
Secretory,6,25,4,90,0,0,0,0,1,0,1,2,0,2,18,1124,50,1
Submucosal Secretory,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,110,215,1
T cell lineage,0,1,21,8,3,0,3,0,0,98,1,3,0,5,2,2,0,963
