,AT1,AT2,B cell lineage,Basal,Dendritic cells,EC arterial,EC capillary,EC venous,Fibroblasts,Innate lymphoid cell NK,Lymphatic EC mature,Macrophages,Mast cells,Monocytes,Multiciliated lineage,Secretory,Submucosal Secretory,T cell lineage
AT1,498,9,0,0,0,0,0,0,0,0,0,1,1,0,0,4,0,2
AT2,16,956,0,1,0,0,0,0,1,3,2,2,0,1,1,21,0,0
B cell lineage,0,0,501,0,29,2,0,0,0,0,0,6,0,0,1,1,0,19
Basal,0,5,0,814,0,0,0,0,0,0,0,0,0,1,0,63,1,4
Dendritic cells,0,2,41,0,860,0,0,0,0,0,0,64,0,38,0,3,0,6
EC arterial,0,2,0,0,0,364,65,115,0,0,0,0,0,0,0,0,0,1
EC capillary,0,0,1,0,0,56,433,15,0,0,3,0,0,1,0,0,0,3
EC venous,0,1,2,1,0,91,43,727,1,0,0,0,1,2,0,1,1,0
Fibroblasts,0,0,0,1,0,1,0,0,722,0,0,0,0,1,0,0,0,2
Innate lymphoid cell NK,0,0,0,1,0,0,0,0,0,524,0,0,0,0,0,0,0,95
Lymphatic EC mature,0,0,0,0,0,0,2,3,0,0,376,0,0,1,0,0,0,0
Macrophages,0,3,1,0,71,0,2,1,1,0,0,1102,1,124,0,3,0,2
Mast cells,0,0,0,0,1,0,0,0,0,0,0,1,438,1,0,0,2,0
Monocytes,0,0,1,0,51,1,1,2,0,0,0,119,0,996,0,0,1,6
Multiciliated lineage,0,3,1,1,0,0,0,1,0,0,0,1,0,5,1354,24,0,0
Secretory,7,26,1,88,1,0,0,0,0,0,1,5,0,0,14,1148,33,0
Submucosal Secretory,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,71,253,1
T cell lineage,0,1,9,11,5,0,2,0,0,71,1,2,1,3,3,1,0,1000
