,AT1,AT2,B cell lineage,Basal,Dendritic cells,EC arterial,EC capillary,EC venous,Fibroblasts,Innate lymphoid cell NK,Lymphatic EC mature,Macrophages,Mast cells,Monocytes,Multiciliated lineage,Secretory,Submucosal Secretory,T cell lineage
AT1,488,13,0,0,0,0,1,0,0,1,0,1,1,0,1,8,0,1
AT2,13,964,0,3,1,0,0,0,1,1,1,0,1,2,2,15,0,0
B cell lineage,0,0,546,0,5,1,1,0,0,1,0,0,0,0,1,1,0,3
Basal,0,4,2,798,0,0,0,0,0,1,0,2,0,1,3,74,0,3
Dendritic cells,0,1,5,2,892,0,2,0,0,2,0,64,0,38,1,4,0,3
EC arterial,0,2,0,0,0,477,41,24,0,0,1,0,0,1,0,0,0,1
EC capillary,1,0,0,1,0,37,438,31,0,0,0,2,0,1,0,0,0,1
EC venous,0,1,0,2,1,28,39,792,1,1,0,2,1,1,0,1,0,1
Fibroblasts,0,1,0,0,1,0,0,3,717,0,1,1,0,2,0,0,0,1
Innate lymphoid cell NK,0,1,0,0,0,1,0,0,0,568,0,0,0,2,0,0,0,48
Lymphatic EC mature,0,0,0,0,0,0,1,1,1,0,378,0,0,0,0,0,1,0
Macrophages,0,2,0,0,58,0,1,1,1,1,0,1176,1,67,0,3,0,0
Mast cells,0,0,0,0,1,1,0,0,0,0,0,1,438,1,0,0,0,1
Monocytes,0,0,2,0,41,2,1,1,1,0,1,66,0,1059,0,2,0,2
Multiciliated lineage,1,5,0,8,0,0,0,0,1,0,0,3,0,0,1355,17,0,0
Secretory,9,5,0,90,0,0,0,0,1,0,0,2,0,2,10,1187,16,2
Submucosal Secretory,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,12,315,0
T cell lineage,0,0,4,7,3,1,0,0,1,29,0,3,0,7,1,2,0,1052
