,B cells,CD4+ T cells,MAIT cells,Myeloid cells,NK cells,TRAV1-2- CD8+ T cells,gd T cells
B cells,3258,2,0,0,0,0,0
CD4+ T cells,0,3163,38,0,1,77,41
MAIT cells,0,19,2325,0,0,37,31
Myeloid cells,0,0,0,3320,0,0,0
NK cells,0,0,1,0,3254,4,34
TRAV1-2- CD8+ T cells,0,165,25,0,14,2929,182
gd T cells,0,65,66,0,33,214,2439
