,B cells,CD4+ T cells,MAIT cells,Myeloid cells,NK cells,TRAV1-2- CD8+ T cells,gd T cells
B cells,689,689,146,699,28,710,299
CD4+ T cells,669,749,144,753,21,679,305
MAIT cells,478,537,118,560,19,488,212
Myeloid cells,658,717,152,757,34,689,313
NK cells,10,10,24,8,3219,6,16
TRAV1-2- CD8+ T cells,685,717,168,686,30,736,293
gd T cells,565,621,104,619,27,594,287
