,B cells,CD4+ T cells,MAIT cells,Myeloid cells,NK cells,TRAV1-2- CD8+ T cells,gd T cells
B cells,3256,2,0,2,0,0,0
CD4+ T cells,0,3136,35,0,1,91,57
MAIT cells,0,18,2324,0,0,37,33
Myeloid cells,0,0,0,3320,0,0,0
NK cells,0,0,1,0,3255,4,33
TRAV1-2- CD8+ T cells,0,183,34,0,13,2893,192
gd T cells,0,66,74,0,49,214,2414
