,AT1,AT2,B cell lineage,Basal,Dendritic cells,EC arterial,EC capillary,EC venous,Fibroblasts,Innate lymphoid cell NK,Lymphatic EC mature,Macrophages,Mast cells,Monocytes,Multiciliated lineage,Secretory,Submucosal Secretory,T cell lineage
AT1,494,10,0,1,0,0,2,0,0,0,0,0,1,0,0,7,0,0
AT2,13,962,0,2,0,0,0,0,2,0,1,2,0,2,1,15,3,1
B cell lineage,1,0,534,0,9,0,0,1,1,1,1,1,0,0,1,0,0,9
Basal,0,6,0,792,2,0,1,0,2,1,0,0,0,0,7,72,2,3
Dendritic cells,0,0,3,1,917,0,0,0,0,0,0,64,0,26,1,2,0,0
EC arterial,0,3,0,0,0,488,44,8,1,0,1,1,0,0,0,0,0,1
EC capillary,1,1,0,0,0,30,442,32,1,0,1,0,1,0,0,0,0,3
EC venous,0,4,0,0,0,22,26,817,1,1,0,0,0,0,0,0,0,0
Fibroblasts,0,0,0,0,0,0,0,1,724,0,0,0,0,2,0,0,0,0
Innate lymphoid cell NK,0,0,0,0,2,0,0,0,0,594,0,0,0,0,0,0,0,24
Lymphatic EC mature,0,0,0,1,0,0,3,0,1,0,373,1,0,2,0,1,0,0
Macrophages,0,0,1,0,57,0,1,1,0,0,0,1176,1,70,0,3,0,1
Mast cells,0,0,0,0,0,0,0,0,0,0,0,0,442,0,0,0,0,1
Monocytes,1,2,0,0,13,1,1,0,0,0,1,72,2,1083,0,1,0,1
Multiciliated lineage,0,2,0,2,0,0,0,0,0,1,0,1,0,0,1370,13,0,1
Secretory,3,22,0,72,1,0,0,0,0,0,0,1,0,3,16,1191,15,0
Submucosal Secretory,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,13,315,0
T cell lineage,0,0,4,2,0,0,3,0,0,39,0,1,0,0,2,1,0,1058
