cell_type,f1,precision,recall,support
CD14-positive monocyte,0.9847494553376906,0.9912280701754386,0.9783549783549783,231.0
"CD16-negative, CD56-bright natural killer cell, human",0.9484536082474226,0.9583333333333334,0.9387755102040817,49.0
"CD16-positive, CD56-dim natural killer cell, human",0.9713375796178344,0.9807073954983923,0.9621451104100947,317.0
T-helper 22 cell,0.6439393939393939,0.6538461538461539,0.6343283582089553,134.0
"central memory CD4-positive, alpha-beta T cell",0.680089485458613,0.6785714285714286,0.6816143497757847,223.0
"effector CD8-positive, alpha-beta T cell",0.8646616541353384,0.8518518518518519,0.8778625954198473,131.0
"effector memory CD8-positive, alpha-beta T cell",0.703862660944206,0.7130434782608696,0.6949152542372882,118.0
gamma-delta T cell,0.5649717514124294,0.5319148936170213,0.6024096385542169,83.0
mature NK T cell,0.8502994011976048,0.922077922077922,0.7888888888888889,90.0
mucosal invariant T cell,0.5217391304347826,0.5217391304347826,0.5217391304347826,69.0
naive B cell,0.9959839357429718,1.0,0.992,125.0
"naive thymus-derived CD4-positive, alpha-beta T cell",0.8208469055374593,0.7924528301886793,0.8513513513513513,296.0
"naive thymus-derived CD8-positive, alpha-beta T cell",0.8065573770491803,0.825503355704698,0.7884615384615384,156.0
