cell_type,Cambridge_cells,Ncl_cells,Cambridge_donors,Ncl_donors,log_cell_support_ratio_Cambridge_over_Ncl,f1_Cambridge_to_Ncl,f1_Ncl_to_Cambridge,delta_f1_Cambridge_to_Ncl_minus_reverse
CD14-positive monocyte,353,800,11,12,-0.817353047100142,0.954367666232073,0.975397973950796,-0.02103030771872294
"CD16-negative, CD56-bright natural killer cell, human",92,155,11,12,-0.5194370871009092,0.8641114982578397,0.8461538461538461,0.017957652103993582
"CD16-positive, CD56-dim natural killer cell, human",732,850,11,12,-0.14936107094469403,0.938344098649442,0.9734151329243352,-0.03507103427489322
T-helper 22 cell,409,260,11,10,0.45233404209970257,0.704331450094162,0.5874246339362619,0.1169068161579001
"central memory CD4-positive, alpha-beta T cell",993,122,11,10,2.09312303200709,0.3642611683848797,0.192273135669362,0.1719880327155177
"effector CD8-positive, alpha-beta T cell",217,439,10,10,-0.7034388665964929,0.8062317429406037,0.7621359223300971,0.04409582061050665
"effector memory CD8-positive, alpha-beta T cell",236,356,11,10,-0.41038603192236295,0.7657657657657657,0.6444444444444445,0.12132132132132123
gamma-delta T cell,147,267,11,10,-0.5952913905561869,0.1842105263157894,0.2762762762762762,-0.0920657499604868
mature NK T cell,76,373,10,12,-1.5856272637403819,0.8619718309859155,0.7397260273972602,0.12224580358865522
mucosal invariant T cell,157,189,11,10,-0.18496356625679333,0.6376146788990825,0.6161879895561357,0.02142668934294678
naive B cell,346,278,11,12,0.2184647592626193,0.9982046678635548,1.0,-0.0017953321364452268
"naive thymus-derived CD4-positive, alpha-beta T cell",667,812,11,10,-0.19657652392948793,0.8378830083565459,0.7568988173455979,0.080984191010948
"naive thymus-derived CD8-positive, alpha-beta T cell",402,379,11,10,0.058840500022933395,0.7232267037552156,0.5916515426497277,0.13157516110548784
