analysis,representation,train_group,test_group,direction,macro_f1_mean,macro_f1_std,accuracy_mean,accuracy_std,n_runs
support_matched,harmony,Cambridge,Ncl,Cambridge_to_Ncl,0.7346057006721335,0.004108311381333764,0.8202083333333332,0.0009107115884779488,10
support_matched,harmony,Ncl,Cambridge,Ncl_to_Cambridge,0.6816049956043112,0.0025465946914770545,0.6846695670188523,0.0016557608163632893,10
support_matched,hvg,Cambridge,Ncl,Cambridge_to_Ncl,0.716180319205189,0.00686378079982937,0.8041477272727272,0.005878640624782867,10
support_matched,hvg,Ncl,Cambridge,Ncl_to_Cambridge,0.6530248568139937,0.012866897124385789,0.6490159519370209,0.02013566991807131,10
support_matched,pca,Cambridge,Ncl,Cambridge_to_Ncl,0.7261470938003536,0.004370569213802233,0.8244886363636363,0.0030487260892491925,10
support_matched,pca,Ncl,Cambridge,Ncl_to_Cambridge,0.6941538901077777,0.006919079276106101,0.6991091775429873,0.0057280696493595485,10
support_matched,scvi,Cambridge,Ncl,Cambridge_to_Ncl,0.7076642683964873,0.0032845695114136655,0.8098863636363637,0.001450097541304747,10
support_matched,scvi,Ncl,Cambridge,Ncl_to_Cambridge,0.6591545795062288,0.0026489245445229497,0.6509633312616532,0.001509154161137778,10
