,B cells,CD4+ T cells,MAIT cells,Myeloid cells,NK cells,TRAV1-2- CD8+ T cells,gd T cells
B cells,3257,1,0,2,0,0,0
CD4+ T cells,0,3185,22,0,0,73,40
MAIT cells,0,14,2322,0,1,45,30
Myeloid cells,2,1,1,3316,0,0,0
NK cells,0,0,2,0,3241,3,47
TRAV1-2- CD8+ T cells,0,196,23,0,17,2925,154
gd T cells,0,73,66,0,37,204,2437
