,B cells,CD4+ T cells,MAIT cells,Myeloid cells,NK cells,TRAV1-2- CD8+ T cells,gd T cells
B cells,330,1091,0,694,171,974,0
CD4+ T cells,330,1109,0,798,159,924,0
MAIT cells,216,789,0,544,147,716,0
Myeloid cells,297,1067,0,766,200,990,0
NK cells,1,0,0,3,3254,35,0
TRAV1-2- CD8+ T cells,330,1158,0,741,160,926,0
gd T cells,232,986,0,635,162,802,0
