,endothelial cell,leukocyte,pancreatic A cell,pancreatic D cell,pancreatic PP cell,pancreatic acinar cell,pancreatic ductal cell,pancreatic stellate cell,type B pancreatic cell
endothelial cell,33,0,0,0,0,0,0,0,0
leukocyte,0,10,0,0,0,0,0,0,0
pancreatic A cell,0,0,488,0,0,1,2,0,0
pancreatic D cell,0,0,0,84,0,0,0,0,2
pancreatic PP cell,0,0,1,0,25,0,0,0,0
pancreatic acinar cell,0,0,1,0,0,88,0,0,0
pancreatic ductal cell,0,0,0,0,0,2,143,1,0
pancreatic stellate cell,0,0,0,0,0,0,0,68,1
type B pancreatic cell,0,0,2,1,0,0,0,0,747
