,endothelial cell,leukocyte,pancreatic A cell,pancreatic D cell,pancreatic PP cell,pancreatic acinar cell,pancreatic ductal cell,pancreatic stellate cell,type B pancreatic cell
endothelial cell,33,0,0,0,0,0,0,0,0
leukocyte,0,10,0,0,0,0,0,0,0
pancreatic A cell,0,0,487,1,0,1,1,0,1
pancreatic D cell,0,0,0,83,0,0,0,0,3
pancreatic PP cell,0,0,1,0,25,0,0,0,0
pancreatic acinar cell,0,0,1,1,0,87,0,0,0
pancreatic ductal cell,0,0,0,0,0,1,145,0,0
pancreatic stellate cell,0,0,0,0,0,0,0,68,1
type B pancreatic cell,0,0,1,5,1,0,0,0,743
