cell_type,n_cells
epithelial cell of proximal tubule,5740
mononuclear phagocyte,719
T cell,619
kidney loop of Henle cortical thick ascending limb epithelial cell,527
natural killer cell,345
kidney capillary endothelial cell,254
kidney loop of Henle descending limb epithelial cell,208
renal principal cell,199
renal alpha-intercalated cell,135
