,endothelial cell,leukocyte,pancreatic A cell,pancreatic D cell,pancreatic PP cell,pancreatic acinar cell,pancreatic ductal cell,pancreatic stellate cell,type B pancreatic cell
endothelial cell,48,0,0,0,0,0,0,0,0
leukocyte,0,11,0,0,0,0,0,0,0
pancreatic A cell,0,0,612,0,0,1,0,0,1
pancreatic D cell,0,0,0,89,0,0,0,0,5
pancreatic PP cell,0,0,0,0,30,0,0,0,0
pancreatic acinar cell,0,0,1,0,0,102,3,0,1
pancreatic ductal cell,0,0,0,0,0,0,143,0,0
pancreatic stellate cell,3,0,0,0,0,0,0,70,0
type B pancreatic cell,0,0,1,4,0,0,0,0,875
