,endothelial cell,leukocyte,pancreatic A cell,pancreatic D cell,pancreatic PP cell,pancreatic acinar cell,pancreatic ductal cell,pancreatic stellate cell,type B pancreatic cell
endothelial cell,30,0,0,0,0,0,0,0,0
leukocyte,0,6,0,0,0,0,0,0,0
pancreatic A cell,0,0,609,0,0,1,1,0,0
pancreatic D cell,0,0,0,107,0,0,0,0,1
pancreatic PP cell,0,0,0,1,30,0,0,0,0
pancreatic acinar cell,0,0,0,0,0,45,0,0,1
pancreatic ductal cell,0,0,0,0,0,1,135,0,0
pancreatic stellate cell,0,0,0,0,0,0,0,55,0
type B pancreatic cell,0,0,3,4,0,1,0,0,969
