fold,representation,macro_f1,accuracy,n_train_cells,n_test_cells,n_classes_used,n_train_donors,n_test_donors,batch_covariate,n_batch_features
1,harmony,0.9888823285761771,0.9915,6500,2000,9,13,4,None,0
2,harmony,0.9852384487016668,0.9915,6500,2000,9,13,4,None,0
3,harmony,0.9744044757262722,0.9853333333333333,7000,1500,9,14,3,None,0
4,harmony,0.9877074826413007,0.99,7000,1500,9,14,3,None,0
5,harmony,0.9831108347783802,0.99,7000,1500,9,14,3,None,0
