,pancreatic A cell,pancreatic D cell,pancreatic acinar cell,pancreatic ductal cell,pancreatic stellate cell,type B pancreatic cell
pancreatic A cell,371,0,0,1,0,0
pancreatic D cell,0,63,0,0,0,1
pancreatic acinar cell,0,0,178,1,0,0
pancreatic ductal cell,0,0,0,299,0,0
pancreatic stellate cell,0,0,0,0,56,0
type B pancreatic cell,0,0,0,0,0,480
