,endothelial cell,leukocyte,pancreatic A cell,pancreatic D cell,pancreatic PP cell,pancreatic acinar cell,pancreatic ductal cell,pancreatic stellate cell,type B pancreatic cell
endothelial cell,29,0,0,0,0,0,0,0,0
leukocyte,0,12,0,0,0,0,0,0,0
pancreatic A cell,0,0,425,0,3,0,0,0,1
pancreatic D cell,0,0,0,64,0,0,0,0,0
pancreatic PP cell,0,0,2,0,25,0,0,0,0
pancreatic acinar cell,0,0,0,1,0,84,2,0,0
pancreatic ductal cell,0,0,0,0,0,0,93,0,0
pancreatic stellate cell,0,0,0,0,0,0,0,110,0
type B pancreatic cell,0,0,0,1,0,0,0,0,648
