,endothelial cell,leukocyte,pancreatic A cell,pancreatic D cell,pancreatic PP cell,pancreatic acinar cell,pancreatic ductal cell,pancreatic stellate cell,type B pancreatic cell
endothelial cell,48,0,0,0,0,0,0,0,0
leukocyte,0,11,0,0,0,0,0,0,0
pancreatic A cell,0,0,613,0,0,1,0,0,0
pancreatic D cell,0,0,0,90,0,0,0,0,4
pancreatic PP cell,0,0,0,0,30,0,0,0,0
pancreatic acinar cell,0,0,1,0,0,102,3,0,1
pancreatic ductal cell,0,0,1,0,0,0,142,0,0
pancreatic stellate cell,2,0,0,0,0,0,0,71,0
type B pancreatic cell,0,0,0,1,0,0,0,0,879
