,endothelial cell,leukocyte,pancreatic A cell,pancreatic D cell,pancreatic PP cell,pancreatic acinar cell,pancreatic ductal cell,pancreatic stellate cell,type B pancreatic cell
endothelial cell,47,0,0,0,0,1,0,0,0
leukocyte,0,11,0,0,0,0,0,0,0
pancreatic A cell,0,0,612,0,0,1,1,0,0
pancreatic D cell,0,0,0,91,0,0,0,0,3
pancreatic PP cell,0,0,0,0,30,0,0,0,0
pancreatic acinar cell,0,0,1,0,0,100,4,0,2
pancreatic ductal cell,0,0,1,7,0,0,135,0,0
pancreatic stellate cell,2,0,1,0,0,0,0,70,0
type B pancreatic cell,0,0,0,0,1,0,0,0,879
