,endothelial cell,leukocyte,pancreatic A cell,pancreatic D cell,pancreatic PP cell,pancreatic acinar cell,pancreatic ductal cell,pancreatic stellate cell,type B pancreatic cell
endothelial cell,23,0,0,0,0,0,0,0,0
leukocyte,0,11,0,0,0,0,0,0,0
pancreatic A cell,0,0,338,0,0,0,1,0,0
pancreatic D cell,0,0,0,63,0,0,0,0,3
pancreatic PP cell,0,0,0,0,19,0,0,0,0
pancreatic acinar cell,0,0,0,0,0,178,4,0,0
pancreatic ductal cell,0,0,0,0,0,2,305,0,0
pancreatic stellate cell,0,0,0,0,0,0,0,51,0
type B pancreatic cell,0,0,1,2,0,1,0,0,498
