fold,representation,macro_f1,accuracy,n_train_cells,n_test_cells,n_classes_used,n_train_donors,n_test_donors,batch_covariate,n_batch_features
1,scvi,0.9885784355302109,0.993,6500,2000,9,13,4,None,0
2,scvi,0.9766150507117204,0.988,6500,2000,9,13,4,None,0
3,scvi,0.9850564496397881,0.992,7000,1500,9,14,3,None,0
4,scvi,0.990713388120006,0.9953333333333333,7000,1500,9,14,3,None,0
5,scvi,0.9911323869979007,0.9953333333333333,7000,1500,9,14,3,None,0
