,endothelial cell,leukocyte,pancreatic A cell,pancreatic D cell,pancreatic PP cell,pancreatic acinar cell,pancreatic ductal cell,pancreatic stellate cell,type B pancreatic cell
endothelial cell,30,0,0,0,0,0,0,0,0
leukocyte,0,6,0,0,0,0,0,0,0
pancreatic A cell,0,0,610,0,0,0,1,0,0
pancreatic D cell,0,0,0,105,0,0,0,0,3
pancreatic PP cell,0,0,1,0,30,0,0,0,0
pancreatic acinar cell,0,0,0,0,0,43,1,0,2
pancreatic ductal cell,0,0,0,0,0,0,136,0,0
pancreatic stellate cell,1,0,0,0,0,0,0,54,0
type B pancreatic cell,0,0,1,0,0,0,0,0,976
