representation,rep_key,k_train_donors,macro_f1_mean,macro_f1_std,accuracy_mean,accuracy_std,mean_train_cells,mean_test_cells,mean_n_classes_used
harmony,X_harmony,5,0.8020586597806518,0.01669650055538117,0.8189230389179244,0.010000652468696325,3426.4,70195.6,18.0
harmony,X_harmony,10,0.8249048277465212,0.013390544667598606,0.8364215313802775,0.010720263031821385,7028.8,66593.2,18.0
harmony,X_harmony,20,0.8319692033469929,0.009732120982561163,0.8430774712562782,0.010070560559513126,13565.2,60056.8,18.0
harmony,X_harmony,40,0.8447656830485476,0.005781409336494806,0.8563936764148149,0.00355890917770249,29471.6,44150.4,18.0
harmony,X_harmony,80,0.8507387125024233,0.007096225701387234,0.8619446375529632,0.00622341745609174,56868.4,16753.6,18.0
hvg,hvg,5,0.8936679688761636,0.01886372195478855,0.893351273748381,0.016375868522369007,3426.4,70195.6,18.0
hvg,hvg,10,0.9178708444727841,0.005613115028567972,0.9128752224231009,0.0063175098757556145,7028.8,66593.2,18.0
hvg,hvg,20,0.9213410480095053,0.0027251065418022183,0.9160285741526846,0.0018849523756912377,13565.2,60056.8,18.0
hvg,hvg,40,0.923917277307668,0.005620548617769855,0.917331939936318,0.006743133376594893,29471.6,44150.4,18.0
hvg,hvg,80,0.9241388316562358,0.010325485272863859,0.9180891310397229,0.011385397800454005,56868.4,16753.6,18.0
pca,X_pca,5,0.8156301925008392,0.013633769665383879,0.8301761551175943,0.007507998280555985,3426.4,70195.6,18.0
pca,X_pca,10,0.8495532670340615,0.015815296605144583,0.8545804178678033,0.0142412995202356,7028.8,66593.2,18.0
pca,X_pca,20,0.8586783013687886,0.006944197905931673,0.8627297495819436,0.005775486447461888,13565.2,60056.8,18.0
pca,X_pca,40,0.8706654914996781,0.007253558055938215,0.8752117617818387,0.004186618414693883,29471.6,44150.4,18.0
pca,X_pca,80,0.877338823517575,0.006798350278391934,0.8808106703739321,0.004600972540733895,56868.4,16753.6,18.0
scvi,X_scVI,5,0.9035086632297054,0.004810812042326332,0.902577867062114,0.004925468912467992,3426.4,70195.6,18.0
scvi,X_scVI,10,0.9187065311519648,0.008951305241931858,0.9158769979905917,0.00798254344904432,7028.8,66593.2,18.0
scvi,X_scVI,20,0.9286575499820937,0.0022918050939826264,0.9247929788220045,0.0020136187586501544,13565.2,60056.8,18.0
scvi,X_scVI,40,0.9343536707521671,0.003730673652134306,0.9300684778025691,0.004064349955344554,29471.6,44150.4,18.0
scvi,X_scVI,80,0.9355720515560646,0.005482460444433255,0.9315548466979241,0.006070730592794843,56868.4,16753.6,18.0
