,T cell,epithelial cell of proximal tubule,kidney capillary endothelial cell,kidney loop of Henle cortical thick ascending limb epithelial cell,kidney loop of Henle descending limb epithelial cell,mononuclear phagocyte,natural killer cell,renal alpha-intercalated cell,renal principal cell
T cell,122,0,0,0,0,1,1,0,0
epithelial cell of proximal tubule,0,1148,0,0,0,0,0,0,0
kidney capillary endothelial cell,0,0,50,0,0,0,0,1,0
kidney loop of Henle cortical thick ascending limb epithelial cell,0,0,0,103,2,0,0,0,0
kidney loop of Henle descending limb epithelial cell,0,4,0,2,36,0,0,0,0
mononuclear phagocyte,0,0,0,0,0,144,0,0,0
natural killer cell,2,0,0,0,0,0,67,0,0
renal alpha-intercalated cell,0,0,0,0,0,0,0,27,0
renal principal cell,0,0,0,0,0,0,0,0,40
