,AT2 proliferating,Adventitial fibroblasts,Alveolar fibroblasts,Alveolar macrophages,B cells,Basal resting,CD4 T cells,CD8 T cells,Classical monocytes,Club,DC2,Deuterosomal,EC aerocyte capillary,EC general capillary,EC venous pulmonary,EC venous systemic,Goblet,Hillock-like,Interstitial macrophages,Ionocyte,Multiciliated,NK cells,Non-classical monocytes,Peribronchial fibroblasts,Pericytes,Plasma cells,SMG duct,SMG mucous,SMG serous,Suprabasal,Transitional Club-AT2
AT2 proliferating,162,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,16
Adventitial fibroblasts,0,342,32,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,2,0,0,0,23,3,0,0,0,0,0,0
Alveolar fibroblasts,0,47,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,14,8,0,0,0,0,0,0
Alveolar macrophages,1,2,0,848,1,0,0,0,1,2,18,0,0,1,0,0,0,0,125,0,0,1,13,0,1,1,0,0,0,0,0
B cells,0,0,0,1,339,0,5,2,0,0,25,0,0,1,0,0,0,0,0,0,0,0,2,0,0,7,0,0,0,0,0
Basal resting,0,1,0,0,0,581,1,0,2,0,0,0,0,0,0,1,0,10,0,2,0,0,0,0,0,3,1,0,0,83,1
CD4 T cells,0,0,0,0,3,0,720,80,2,1,1,0,0,0,0,0,0,0,1,1,0,0,4,0,0,17,0,1,0,1,3
CD8 T cells,0,1,0,1,4,1,114,728,2,0,0,0,0,0,0,0,2,2,2,0,0,84,5,0,1,3,0,0,0,0,2
Classical monocytes,1,0,1,0,0,1,2,0,904,0,10,0,1,0,2,0,0,0,52,0,0,1,79,0,0,2,0,0,1,0,1
Club,0,0,0,1,0,5,0,0,0,460,0,0,0,0,0,0,153,9,0,2,0,0,0,0,0,0,7,1,1,68,38
DC2,0,0,0,27,25,1,1,0,20,1,788,1,0,0,0,0,0,0,55,0,0,0,44,0,0,2,0,0,0,0,1
Deuterosomal,2,0,0,0,0,0,1,0,0,8,1,107,0,0,0,0,16,0,0,1,57,0,0,0,0,0,0,1,0,0,1
EC aerocyte capillary,0,0,0,0,0,0,2,0,0,0,1,0,238,22,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EC general capillary,0,0,0,0,1,0,3,0,1,0,0,0,11,363,5,52,0,0,1,3,0,0,0,0,2,2,0,0,0,0,0
EC venous pulmonary,0,0,0,0,0,0,0,1,1,1,0,0,0,5,350,91,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4
EC venous systemic,0,0,0,0,0,0,0,0,0,2,0,0,5,66,76,405,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0
Goblet,1,0,0,3,0,5,6,0,0,158,0,8,0,0,0,0,479,1,0,2,11,0,0,0,0,0,9,5,0,9,26
Hillock-like,1,0,0,0,0,55,0,0,0,8,0,0,0,0,0,0,0,188,0,1,0,0,0,0,0,0,0,0,0,59,0
Interstitial macrophages,1,0,0,186,4,0,0,0,80,0,92,0,1,1,0,0,0,0,652,1,0,0,71,0,0,4,0,0,0,1,0
Ionocyte,0,0,0,1,0,1,9,0,0,4,0,0,0,0,0,1,1,0,0,74,0,0,0,1,0,15,0,0,0,0,1
Multiciliated,1,0,0,1,0,5,0,0,0,1,0,19,0,0,0,0,6,0,0,2,1336,0,0,0,0,0,0,0,0,0,2
NK cells,0,0,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,511,0,0,0,0,0,0,0,0,0
Non-classical monocytes,0,0,0,53,1,0,3,0,103,0,56,0,0,0,0,0,0,0,135,0,0,1,359,0,0,1,0,0,0,0,0
Peribronchial fibroblasts,0,68,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,64,0,0,0,0,0,0,0
Pericytes,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,130,0,0,0,0,0,0
Plasma cells,0,0,0,4,0,5,32,6,1,0,0,0,0,4,0,1,0,0,4,6,0,1,5,0,2,223,0,0,0,0,2
SMG duct,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,187,3,22,2,10
SMG mucous,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,6,85,0,0,0
SMG serous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1,110,0,0
Suprabasal,6,0,0,0,0,128,0,0,0,63,2,0,0,0,0,0,11,50,0,1,0,0,0,0,0,0,1,0,0,516,5
Transitional Club-AT2,11,0,0,0,1,2,0,0,1,33,1,0,0,0,0,0,17,0,0,1,2,0,0,0,0,0,9,0,0,1,432
