representation,scheme,pred_prob_correct,coef_intercept,coef_scheme_random
hvg,donor_held_out,0.8175499854580297,1.499835802607021,0.11700064622547264
hvg,random,0.8343583752207853,1.499835802607021,0.11700064622547264
pca,donor_held_out,0.8280053701413664,1.5715563854682935,0.09389292398629369
pca,random,0.8409681524615799,1.5715563854682935,0.09389292398629369
harmony,donor_held_out,0.7986334727688703,1.377775342031497,0.054844045566731926
harmony,random,0.8073091186300928,1.377775342031497,0.054844045566731926
scvi,donor_held_out,0.8027154124550263,1.4033529525947483,0.10425837996827321
scvi,random,0.8187069366300971,1.4033529525947483,0.10425837996827321
