scheme,representation,macro_f1,accuracy,n_cells_used,n_classes_used,batch_covariate,n_batch_features
random_split,hvg,0.8813977579044446,0.8599499821364773,83966,31,batch,13
random_split,pca,0.8272180550176836,0.8102893890675241,83966,31,batch,13
random_split,harmony,0.8235711605976378,0.8079671311182565,83966,31,batch,13
random_split,scvi,0.8948823428133466,0.8741812552101941,83966,31,batch,13
