representation,k_train_donors,macro_f1_mean,macro_f1_std,accuracy_mean,accuracy_std,mean_train_cells,mean_test_cells,mean_n_classes_used
harmony,3,0.6045011611556291,0.06118325989240097,0.6332296315287028,0.06448280306110889,660.4,5171.6,8.0
harmony,5,0.667216515009733,0.02288244671670037,0.7035772819078046,0.020383563614094987,1182.4,4649.6,8.0
harmony,8,0.6957481914238899,0.01029697768597188,0.7252837760724742,0.009424190287212662,2057.2,3774.8,8.0
harmony,10,0.6992504173234068,0.013512469740613849,0.7347567267608797,0.012253779517186859,2651.8,3180.2,8.0
harmony,15,0.7081224000056523,0.019370678848415316,0.7442052567055548,0.023665775783721067,3816.6,2015.4,8.0
harmony,20,0.6766562235370115,0.01633136334483467,0.7276904764965781,0.029431731894843157,5073.6,758.4,8.0
hvg,3,0.5743315000606716,0.09747715025371126,0.6055891956463306,0.09024979360009856,660.4,5171.6,8.0
hvg,5,0.6436622888331269,0.03904596917014901,0.6901287147271162,0.029212403732073046,1182.4,4649.6,8.0
hvg,8,0.7066373482765853,0.012373900026867517,0.7344962195904794,0.012443085061123692,2057.2,3774.8,8.0
hvg,10,0.7164876503610187,0.015939691129055026,0.7472322796359592,0.019582432368433964,2651.8,3180.2,8.0
hvg,15,0.7290704179466175,0.019477510601695013,0.7594482531690278,0.016986258130016536,3816.6,2015.4,8.0
hvg,20,0.7179392484975964,0.027613984602890836,0.7588344371315545,0.0343946115088433,5073.6,758.4,8.0
pca,3,0.6552884795855886,0.07292049818003743,0.6902593290861926,0.06779171949660427,660.4,5171.6,8.0
pca,5,0.7102907869523516,0.013064727440983009,0.7414341702206043,0.012829817224613124,1182.4,4649.6,8.0
pca,8,0.745101863260077,0.011084623710819004,0.7691098698228053,0.009341311206456444,2057.2,3774.8,8.0
pca,10,0.7336252163077296,0.02130756085421997,0.7654561192142986,0.02170218443943089,2651.8,3180.2,8.0
pca,15,0.7459999049651218,0.008535956329569524,0.7791371958712705,0.01800186748677597,3816.6,2015.4,8.0
pca,20,0.7130625451914523,0.03636618861197955,0.7632960805441205,0.04798934216788549,5073.6,758.4,8.0
scvi,3,0.6006116817005306,0.0709432187007853,0.6287886608495935,0.07408117746645834,660.4,5171.6,8.0
scvi,5,0.6549397358044173,0.03935576870668439,0.6923155172580765,0.04373520273439893,1182.4,4649.6,8.0
scvi,8,0.6891900515641993,0.017775404119831858,0.7204596018640907,0.022437691754662453,2057.2,3774.8,8.0
scvi,10,0.6782347284696321,0.01295060051049663,0.7143944567487344,0.009494680290668507,2651.8,3180.2,8.0
scvi,15,0.6972624789111658,0.0302006590467496,0.7326808113237424,0.029371842501697443,3816.6,2015.4,8.0
scvi,20,0.6613717405454038,0.039698422543834176,0.7189748523180348,0.043850613943229574,5073.6,758.4,8.0
