representation,rep_key,k_train_donors,repeat,macro_f1,accuracy,n_train_cells,n_test_cells,n_classes_used
hvg,hvg,3,1,0.4510914916641724,0.609479649665121,1455,9705,30
hvg,hvg,3,2,0.5204018267462529,0.7075403765044749,1480,9721,30
hvg,hvg,3,3,0.45362708898789655,0.5912176059234883,1471,9724,30
hvg,hvg,3,4,0.5804959614895601,0.72248508537338,1477,9722,30
hvg,hvg,3,5,0.5640261911775263,0.7041597682119205,1450,9664,27
hvg,hvg,5,1,0.5302734103354861,0.7294942866840141,2397,8839,33
hvg,hvg,5,2,0.4845311464948001,0.6841924004132706,2427,8711,35
hvg,hvg,5,3,0.5378884480290029,0.7335083314311801,2465,8762,33
hvg,hvg,5,4,0.5414125743517632,0.7296034639927074,2462,8776,33
hvg,hvg,5,5,0.5432055351960217,0.7323863636363637,2386,8800,32
hvg,hvg,8,1,0.5099353913447007,0.7584193373166758,3900,7364,36
hvg,hvg,8,2,0.5181181160527271,0.7121027721433401,3867,7395,36
hvg,hvg,8,3,0.5068218165165997,0.7473367932258945,3949,7322,37
hvg,hvg,8,4,0.50508404278538,0.7513706140350878,3975,7296,36
hvg,hvg,8,5,0.5017649952877271,0.7589224668398742,3960,7313,37
hvg,hvg,10,1,0.525588013185714,0.7729984301412873,4899,6370,37
hvg,hvg,10,2,0.49939542910597273,0.7771284157321118,4938,6331,37
hvg,hvg,10,3,0.49035345135722,0.7379762648344784,4874,6404,38
hvg,hvg,10,4,0.5065745925369879,0.7627870150435471,4950,6315,36
hvg,hvg,10,5,0.5259054348314434,0.7661124307205067,4969,6315,39
hvg,hvg,15,1,0.5151153469051486,0.7582697201017812,7356,3930,39
hvg,hvg,15,2,0.5493827866572785,0.7498104624715694,7329,3957,39
hvg,hvg,15,3,0.5402272364931946,0.7860284605433376,7420,3865,39
hvg,hvg,15,4,0.538789265351134,0.7554473211996924,7384,3901,39
hvg,hvg,15,5,0.4699807142866523,0.7612167300380228,7344,3945,40
hvg,hvg,20,1,0.5402010407624982,0.7253190060443251,9800,1489,40
hvg,hvg,20,2,0.624563182741871,0.7862491490810075,9820,1469,40
hvg,hvg,20,3,0.4613821328953493,0.6913333333333334,9789,1500,40
hvg,hvg,20,4,0.5628490141646113,0.7461174881836596,9808,1481,40
hvg,hvg,20,5,0.5923594522802698,0.8298017771701982,9826,1463,40
pca,X_pca,3,1,0.44880140131425633,0.6600721277691911,1455,9705,30
pca,X_pca,3,2,0.5160413884435598,0.7499228474436787,1480,9721,30
pca,X_pca,3,3,0.4941755147793482,0.7013574660633484,1471,9724,30
pca,X_pca,3,4,0.5426145543049276,0.7546801069738737,1477,9722,30
pca,X_pca,3,5,0.5493641528221435,0.7484478476821192,1450,9664,27
pca,X_pca,5,1,0.486522917020747,0.7573254893087453,2397,8839,33
pca,X_pca,5,2,0.4639944289528853,0.7330960854092526,2427,8711,35
pca,X_pca,5,3,0.4838242817200484,0.7525679068705775,2465,8762,33
pca,X_pca,5,4,0.5071281461638004,0.7566089334548769,2462,8776,33
pca,X_pca,5,5,0.49881228248210663,0.7545454545454545,2386,8800,32
pca,X_pca,8,1,0.48942397351554806,0.7791960890820206,3900,7364,36
pca,X_pca,8,2,0.46900233039141603,0.7469912102772144,3867,7395,36
pca,X_pca,8,3,0.5096130617035269,0.777246653919694,3949,7322,37
pca,X_pca,8,4,0.4680566440642434,0.7719298245614035,3975,7296,36
pca,X_pca,8,5,0.4828515804179069,0.7739641733898537,3960,7313,37
pca,X_pca,10,1,0.49474207324408,0.7932496075353218,4899,6370,37
pca,X_pca,10,2,0.4709054532342214,0.7856578739535618,4938,6331,37
pca,X_pca,10,3,0.4876465965956925,0.7470331043098064,4874,6404,38
pca,X_pca,10,4,0.47902264295719593,0.782264449722882,4950,6315,36
pca,X_pca,10,5,0.5203959005604273,0.7809976247030879,4969,6315,39
pca,X_pca,15,1,0.47946440207769453,0.7646310432569975,7356,3930,39
pca,X_pca,15,2,0.5055125370947173,0.7768511498610058,7329,3957,39
pca,X_pca,15,3,0.5195086291450525,0.8121604139715395,7420,3865,39
pca,X_pca,15,4,0.49989020654478206,0.7826198410663933,7384,3901,39
pca,X_pca,15,5,0.46710247607297223,0.773384030418251,7344,3945,40
pca,X_pca,20,1,0.531086053908221,0.7333781061114842,9800,1489,40
