cell_type,n_cells,n_donors,keep_by_cell_count,keep_by_donor_coverage,keep
type B pancreatic cell,39484,17,True,True,True
pancreatic A cell,25949,17,True,True,True
pancreatic ductal cell,7042,17,True,True,True
pancreatic D cell,4677,17,True,True,True
pancreatic acinar cell,4288,17,True,True,True
pancreatic stellate cell,3417,17,True,True,True
endothelial cell,1559,17,True,True,True
pancreatic PP cell,1288,17,True,True,True
leukocyte,470,17,True,True,True
mast cell,141,14,False,True,False
pancreatic epsilon cell,106,15,False,True,False
Schwann cell,100,15,False,True,False
