cell_type,n_cells
type B pancreatic cell,3750
pancreatic A cell,2453
pancreatic ductal cell,730
pancreatic acinar cell,443
pancreatic D cell,432
pancreatic stellate cell,347
endothelial cell,165
pancreatic PP cell,131
leukocyte,49
