donor_id,AT2 proliferating,Adventitial fibroblasts,Alveolar fibroblasts,Alveolar macrophages,B cells,Basal resting,CD4 T cells,CD8 T cells,Classical monocytes,Club,DC2,Deuterosomal,EC aerocyte capillary,EC general capillary,EC venous pulmonary,EC venous systemic,Goblet,Hillock-like,Interstitial macrophages,Ionocyte,Multiciliated,NK cells,Non-classical monocytes,Peribronchial fibroblasts,Pericytes,Plasma cells,SMG duct,SMG mucous,SMG serous,Suprabasal,Transitional Club-AT2
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747Donor_03,9,6,9,100,0,4,5,2,67,3,21,0,0,6,17,9,4,0,52,0,67,1,17,0,0,100,0,0,0,0,100
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747Donor_04,11,8,2,100,0,7,0,0,9,0,6,3,0,0,23,11,3,0,31,0,100,0,0,0,0,80,0,0,0,2,96
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747Donor_05,55,0,10,100,2,7,1,0,51,0,100,1,0,0,10,5,0,0,100,0,27,0,19,0,0,38,0,0,0,0,70
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747Donor_06,84,0,28,100,17,6,84,15,100,0,83,0,3,4,25,14,0,0,100,0,29,10,93,0,0,29,0,0,0,2,15
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747Donor_07,82,7,35,100,4,0,8,9,100,1,56,4,2,47,35,6,2,0,100,0,100,8,41,0,0,20,0,0,0,10,30
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747Donor_08,5,0,10,100,1,0,3,0,82,0,46,0,0,4,17,5,0,0,97,0,0,0,32,0,0,6,0,0,0,0,6
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747GRO-01,0,0,0,2,0,100,1,1,0,74,8,4,0,0,0,17,100,3,1,0,100,0,0,0,0,0,4,4,4,100,0
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747GRO-02,0,7,0,0,0,100,0,0,0,57,0,11,0,1,4,13,55,0,0,1,100,0,0,1,0,0,0,0,1,100,0
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747GRO-03,0,6,2,15,46,100,100,100,100,100,100,19,0,11,1,100,100,5,15,6,100,39,4,100,0,95,22,9,1,100,0
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747GRO-04,0,2,1,1,46,100,100,100,43,100,100,100,0,17,5,100,100,4,2,17,100,74,5,15,0,53,23,0,0,100,6
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747GRO-06,0,2,5,3,36,100,100,100,100,100,100,17,0,2,2,56,12,0,2,31,100,20,17,28,1,8,23,7,9,100,1
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747GRO-07,0,3,6,6,40,100,100,100,100,100,77,16,0,5,3,100,16,0,5,6,100,60,29,27,0,9,23,2,2,100,8
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747GRO-08,0,2,1,0,27,100,100,100,99,100,54,8,0,8,4,69,19,2,2,7,100,36,9,62,0,16,29,9,12,100,7
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747GRO-09,0,32,6,55,100,14,100,100,100,100,100,49,0,11,19,100,100,5,33,30,100,100,35,100,0,97,59,21,36,100,1
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747GRO-10,0,23,14,7,100,100,100,100,100,100,100,35,0,29,18,100,100,11,29,26,100,100,32,100,1,97,41,14,36,100,5
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747GRO-11,0,3,3,4,15,16,100,100,43,60,62,8,0,5,3,100,23,2,2,14,100,35,5,42,1,5,10,0,15,100,0
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747NU_CZI01,2,100,100,100,100,18,100,100,100,14,100,20,9,5,0,0,100,8,100,63,100,18,100,61,100,48,100,13,58,100,100
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747NU_CZI02,85,100,100,100,8,10,17,20,100,9,100,1,100,100,100,100,1,0,100,0,100,16,100,24,93,28,0,0,0,1,100
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747T101,0,0,0,0,0,100,0,8,0,25,0,2,0,0,0,0,86,46,0,16,100,0,0,0,0,0,34,0,0,100,1
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747T120,1,0,0,0,0,100,0,0,0,46,0,7,0,0,0,0,100,100,0,2,100,0,0,0,0,0,33,1,0,100,1
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747T121,0,0,0,0,0,100,0,0,0,57,0,6,0,0,0,0,50,87,0,1,71,0,0,0,0,0,9,0,0,100,0
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747T126,0,0,0,0,0,100,1,0,0,74,0,7,0,0,0,0,23,19,0,3,100,0,0,0,0,0,9,0,0,100,3
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747T137,0,0,0,0,1,100,0,0,0,18,0,9,0,0,0,0,100,22,0,0,100,0,0,0,0,0,16,0,0,100,1
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747T153,0,0,0,0,0,100,0,0,0,56,0,3,0,0,1,0,100,50,0,13,100,0,0,0,0,0,62,0,1,100,1
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747T154,0,0,0,0,0,32,0,0,0,61,0,0,0,0,0,0,100,100,0,2,2,1,0,0,0,0,16,0,0,100,0
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747T164,0,0,0,1,0,100,1,0,0,35,0,7,0,0,0,0,100,70,0,7,72,0,0,0,0,0,38,0,0,100,1
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747T165,0,0,0,0,1,100,0,0,0,3,0,3,0,0,0,0,30,100,0,2,48,0,0,0,0,0,33,0,0,100,0
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747T166,0,0,0,0,0,100,2,3,0,15,0,3,0,0,0,0,100,30,1,18,100,0,0,0,0,0,23,0,0,100,1
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747T167,0,0,0,0,0,97,0,1,0,16,0,5,0,0,0,0,100,17,0,10,100,0,0,0,0,0,65,0,2,100,3
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747T85,0,0,0,0,0,100,0,3,0,61,0,16,0,0,0,3,100,11,2,19,92,0,0,0,0,0,63,0,1,100,0
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747T89,0,0,0,0,1,100,0,2,0,9,0,16,0,0,0,1,99,100,0,1,100,0,0,0,0,0,46,0,0,100,2
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747T90,0,0,0,0,0,100,0,0,0,20,0,20,0,0,0,0,100,58,0,7,70,0,0,0,0,0,33,0,0,100,5
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747THD0001,29,2,0,40,2,2,7,5,100,0,60,0,1,8,14,10,0,0,100,0,8,34,100,2,0,3,0,0,0,1,9
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747THD0005,0,1,11,100,10,0,100,100,100,1,100,0,15,9,100,64,0,0,100,0,100,74,100,3,1,100,0,0,0,0,7
