donor_id,n_cells
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747GRO-01,523
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_4837472020-3173-NC006,522
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747THD0019,520
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747T101,518
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747THD0010,518
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747T167,516
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747T90,513
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_4837472020-3173-NC007,503
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747T166,496
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747Donor_04,492
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747THD0009,490
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747T121,481
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747T137,467
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747lafy_donor_1,464
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747GRO-02,451
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747D337,447
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747T126,439
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747THD0017,437
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747Donor_01,436
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747THD0012,435
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747THD0006,427
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747T165,420
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747Donor_08,414
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747T154,414
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747THD0015,408
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD080,362
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747284C,294
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD077,277
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD078,274
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD073,253
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747292B,232
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747THD0020,226
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD105,81
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD076,23
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_483747VUHD87,7
