cell_type,n_cells
Multiciliated,6864
Interstitial macrophages,5470
Classical monocytes,5291
Alveolar macrophages,5074
DC2,4829
CD8 T cells,4761
CD4 T cells,4175
Suprabasal,3915
Club,3724
Goblet,3614
Non-classical monocytes,3559
Basal resting,3427
NK cells,3101
EC venous systemic,2785
Transitional Club-AT2,2554
EC venous pulmonary,2276
EC general capillary,2218
Adventitial fibroblasts,2039
B cells,1910
Hillock-like,1559
Alveolar fibroblasts,1512
Plasma cells,1482
EC aerocyte capillary,1330
SMG duct,1157
Peribronchial fibroblasts,1050
Deuterosomal,973
AT2 proliferating,941
Pericytes,691
SMG serous,660
Ionocyte,538
SMG mucous,487
