gene
ENSG00000000971
ENSG00000001626
ENSG00000004799
ENSG00000004838
ENSG00000005448
ENSG00000006071
ENSG00000006210
ENSG00000007062
ENSG00000007312
ENSG00000007908
ENSG00000008517
ENSG00000010319
ENSG00000010327
ENSG00000011422
ENSG00000011465
ENSG00000012223
ENSG00000017427
ENSG00000019582
ENSG00000020633
ENSG00000022267
ENSG00000034239
ENSG00000034971
ENSG00000035720
ENSG00000036448
ENSG00000037280
ENSG00000038427
ENSG00000038945
ENSG00000039139
ENSG00000039537
ENSG00000041982
ENSG00000043591
ENSG00000049249
ENSG00000049540
ENSG00000050165
ENSG00000050555
ENSG00000057149
ENSG00000058085
ENSG00000060718
ENSG00000064199
ENSG00000064205
ENSG00000064886
ENSG00000064989
ENSG00000065054
ENSG00000065534
ENSG00000065618
ENSG00000067715
ENSG00000068001
ENSG00000069122
ENSG00000071282
ENSG00000071991
ENSG00000073756
ENSG00000074966
ENSG00000076706
ENSG00000077327
ENSG00000077942
ENSG00000077943
ENSG00000077984
ENSG00000078401
ENSG00000078596
ENSG00000078898
ENSG00000081041
ENSG00000085265
ENSG00000086548
ENSG00000087128
ENSG00000087245
ENSG00000087250
ENSG00000087494
ENSG00000088727
ENSG00000090006
ENSG00000090104
ENSG00000090339
ENSG00000090382
ENSG00000091136
ENSG00000091137
ENSG00000091428
ENSG00000091879
ENSG00000091986
ENSG00000092850
ENSG00000093134
ENSG00000094963
ENSG00000095596
ENSG00000096006
ENSG00000096088
ENSG00000096093
ENSG00000099958
ENSG00000100079
ENSG00000100097
ENSG00000100234
ENSG00000100292
ENSG00000100385
ENSG00000100450
ENSG00000100453
ENSG00000100600
ENSG00000100721
ENSG00000100985
ENSG00000101187
ENSG00000101335
ENSG00000101443
ENSG00000101938
ENSG00000101955
ENSG00000102109
ENSG00000102245
ENSG00000102265
ENSG00000102575
ENSG00000102755
ENSG00000102802
ENSG00000102962
ENSG00000102970
ENSG00000103034
ENSG00000103196
ENSG00000103534
ENSG00000103888
ENSG00000104237
ENSG00000104368
ENSG00000104415
ENSG00000104918
ENSG00000104951
ENSG00000105227
ENSG00000105369
ENSG00000105374
ENSG00000105388
ENSG00000105427
ENSG00000105509
ENSG00000105519
ENSG00000105664
ENSG00000105697
ENSG00000105825
ENSG00000105877
ENSG00000105894
ENSG00000105974
ENSG00000106025
ENSG00000106258
ENSG00000106333
ENSG00000106366
ENSG00000106483
ENSG00000106538
ENSG00000106541
ENSG00000106565
ENSG00000106624
ENSG00000106809
ENSG00000106819
ENSG00000107317
ENSG00000107562
ENSG00000107742
ENSG00000107796
ENSG00000107984
ENSG00000108342
ENSG00000108551
ENSG00000108576
ENSG00000108602
ENSG00000108641
ENSG00000108688
ENSG00000108691
ENSG00000108700
ENSG00000108821
ENSG00000109193
ENSG00000109205
ENSG00000109208
ENSG00000109321
ENSG00000109472
ENSG00000109610
ENSG00000109846
ENSG00000109943
ENSG00000110077
ENSG00000110318
ENSG00000110680
ENSG00000110786
ENSG00000110799
ENSG00000110848
ENSG00000110944
ENSG00000111215
ENSG00000111341
ENSG00000111537
ENSG00000111796
ENSG00000112115
ENSG00000112116
ENSG00000112149
ENSG00000112175
ENSG00000112936
ENSG00000112981
ENSG00000113088
ENSG00000113140
ENSG00000113389
ENSG00000113555
ENSG00000113594
ENSG00000113721
ENSG00000114315
ENSG00000115009
ENSG00000115380
ENSG00000115414
ENSG00000115423
ENSG00000115461
ENSG00000115523
ENSG00000115590
ENSG00000115602
ENSG00000115956
ENSG00000116016
ENSG00000116031
ENSG00000116132
ENSG00000116678
ENSG00000116690
ENSG00000116824
ENSG00000116962
ENSG00000117114
ENSG00000117228
ENSG00000117281
ENSG00000117318
ENSG00000117322
ENSG00000117461
ENSG00000117472
ENSG00000117724
ENSG00000117983
ENSG00000118307
ENSG00000118407
ENSG00000118523
ENSG00000118526
ENSG00000118785
ENSG00000118849
ENSG00000118946
ENSG00000118997
ENSG00000119147
ENSG00000119630
ENSG00000119636
ENSG00000119681
ENSG00000119917
ENSG00000119922
ENSG00000120156
ENSG00000120262
ENSG00000120738
ENSG00000120875
ENSG00000120885
ENSG00000121068
ENSG00000121769
