fold,representation,macro_f1,accuracy,n_train_cells,n_test_cells,n_classes_used,n_train_donors,n_test_donors,batch_covariate,n_batch_features
1,hvg,0.7590330936849335,0.8221912720519963,7953,2154,13,18,5,Site,2
2,hvg,0.7364207312044565,0.7824267782426778,7956,2151,13,18,5,Site,2
3,hvg,0.7897608520297923,0.8226691042047533,7919,2188,13,18,5,Site,2
4,hvg,0.7590187346171489,0.7693156732891833,8295,1812,13,19,4,Site,2
5,hvg,0.7774653296231715,0.8113207547169812,8305,1802,13,19,4,Site,2
