fold,representation,macro_f1,accuracy,n_train_cells,n_test_cells,n_classes_used,n_train_donors,n_test_donors,batch_covariate,n_batch_features
1,X_scVI,0.7579559948834387,0.8245125348189415,7953,2154,13,18,5,Site,2
2,X_scVI,0.686896772573347,0.7419804741980475,7956,2151,13,18,5,Site,2
3,X_scVI,0.7889511254825241,0.8208409506398537,7919,2188,13,18,5,Site,2
4,X_scVI,0.7302257560610692,0.7560706401766004,8295,1812,13,19,4,Site,2
5,X_scVI,0.7558467581454453,0.8079911209766926,8305,1802,13,19,4,Site,2
